Orthogroup	MF599468.1	MT798582.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MT798582.1_00076
OG0000001	MF599468.1_00163	MT798582.1_00018
OG0000002	MF599468.1_00152	MT798582.1_00019
OG0000003	MF599468.1_00011	MT798582.1_00012
OG0000004	MF599468.1_00092	MT798582.1_00037
OG0000005	MF599468.1_00154	MT798582.1_00111
OG0000006	MF599468.1_00010	MT798582.1_00088
OG0000007	MF599468.1_00174	MT798582.1_00116
OG0000008	MF599468.1_00030	MT798582.1_00077
OG0000009	MF599468.1_00075	MT798582.1_00036
OG0000011	MF599468.1_00149	MT798582.1_00100
OG0000012	MF599468.1_00112	MT798582.1_00004
OG0000013	MF599468.1_00033	MT798582.1_00049
OG0000014	MF599468.1_00122	MT798582.1_00028
OG0000015	MF599468.1_00009	MT798582.1_00027
OG0000016	MF599468.1_00046	MT798582.1_00119
OG0000017	MF599468.1_00035	MT798582.1_00073
OG0000018	MF599468.1_00117	MT798582.1_00042
OG0000019	MF599468.1_00106	MT798582.1_00120
OG0000020	MF599468.1_00090	MT798582.1_00075
OG0000021	MF599468.1_00116	MT798582.1_00021
OG0000022	MF599468.1_00071	MT798582.1_00071
OG0000023	MF599468.1_00171	MT798582.1_00062
OG0000026	MF599468.1_00039	MT798582.1_00039
OG0000047	MF599468.1_00013	MT798582.1_00048
OG0000069	MF599468.1_00131	MT798582.1_00108
