Orthogroup	MF599468.1	NC_005946.1
OG0000000	MF599468.1_00057, MF599468.1_00056	NC_005946.1_00010
OG0000001	MF599468.1_00163	NC_005946.1_00053
OG0000002	MF599468.1_00152	NC_005946.1_00091
OG0000003	MF599468.1_00011	NC_005946.1_00057
OG0000004	MF599468.1_00092	NC_005946.1_00028
OG0000005	MF599468.1_00154	NC_005946.1_00014
OG0000006	MF599468.1_00010	NC_005946.1_00042
OG0000007	MF599468.1_00174	NC_005946.1_00002
OG0000008	MF599468.1_00030	NC_005946.1_00095
OG0000009	MF599468.1_00075	NC_005946.1_00092
OG0000011	MF599468.1_00149	NC_005946.1_00011
OG0000012	MF599468.1_00112	NC_005946.1_00060
OG0000013	MF599468.1_00033	NC_005946.1_00022
OG0000014	MF599468.1_00122	NC_005946.1_00016
OG0000015	MF599468.1_00009	NC_005946.1_00021
OG0000016	MF599468.1_00046	NC_005946.1_00082
OG0000017	MF599468.1_00035	NC_005946.1_00087
OG0000018	MF599468.1_00117	NC_005946.1_00023
OG0000019	MF599468.1_00106	NC_005946.1_00094
OG0000020	MF599468.1_00090	NC_005946.1_00083
OG0000021	MF599468.1_00116	NC_005946.1_00038
OG0000022	MF599468.1_00071	NC_005946.1_00061
OG0000023	MF599468.1_00171	NC_005946.1_00089
OG0000026	MF599468.1_00039	NC_005946.1_00086
OG0000113	MF599468.1_00036, MF599468.1_00045	NC_005946.1_00020
OG0000134	MF599468.1_00002	NC_005946.1_00001
OG0000135	MF599468.1_00027	NC_005946.1_00079
OG0000148	MF599468.1_00161	NC_005946.1_00054
OG0000156	MF599468.1_00142	NC_005946.1_00063
OG0000158	MF599468.1_00060	NC_005946.1_00044
OG0000160	MF599468.1_00156, MF599468.1_00066	NC_005946.1_00075
OG0000172	MF599468.1_00081	NC_005946.1_00004
OG0000177	MF599468.1_00089, MF599468.1_00108	NC_005946.1_00033
OG0000206	MF599468.1_00006	NC_005946.1_00062
