Orthogroup	MF599468.1	AF371960.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AF371960.1_00031
OG0000001	MF599468.1_00163	AF371960.1_00008
OG0000002	MF599468.1_00152	AF371960.1_00007
OG0000003	MF599468.1_00011	AF371960.1_00015
OG0000004	MF599468.1_00092	AF371960.1_00112
OG0000005	MF599468.1_00154	AF371960.1_00096
OG0000006	MF599468.1_00010	AF371960.1_00078
OG0000007	MF599468.1_00174	AF371960.1_00092
OG0000008	MF599468.1_00030	AF371960.1_00030
OG0000009	MF599468.1_00075	AF371960.1_00113
OG0000011	MF599468.1_00149	AF371960.1_00064
OG0000012	MF599468.1_00112	AF371960.1_00021
OG0000013	MF599468.1_00033	AF371960.1_00057
OG0000014	MF599468.1_00122	AF371960.1_00121
OG0000015	MF599468.1_00009	AF371960.1_00122
OG0000016	MF599468.1_00046	AF371960.1_00089
OG0000017	MF599468.1_00035	AF371960.1_00034
OG0000018	MF599468.1_00117	AF371960.1_00107
OG0000019	MF599468.1_00106	AF371960.1_00088
OG0000020	MF599468.1_00090	AF371960.1_00032
OG0000021	MF599468.1_00116	AF371960.1_00005
OG0000022	MF599468.1_00071	AF371960.1_00036
OG0000023	MF599468.1_00171	AF371960.1_00045
OG0000026	MF599468.1_00039	AF371960.1_00110
OG0000047	MF599468.1_00013	AF371960.1_00058
OG0000069	MF599468.1_00131	AF371960.1_00099
