Orthogroup	MF599468.1	ON743042.1
OG0000000	MF599468.1_00057, MF599468.1_00056	ON743042.1_00031
OG0000001	MF599468.1_00163	ON743042.1_00008
OG0000002	MF599468.1_00152	ON743042.1_00007
OG0000003	MF599468.1_00011	ON743042.1_00015
OG0000004	MF599468.1_00092	ON743042.1_00113
OG0000005	MF599468.1_00154	ON743042.1_00096
OG0000006	MF599468.1_00010	ON743042.1_00077
OG0000007	MF599468.1_00174	ON743042.1_00091
OG0000008	MF599468.1_00030	ON743042.1_00030
OG0000009	MF599468.1_00075	ON743042.1_00115
OG0000011	MF599468.1_00149	ON743042.1_00065
OG0000012	MF599468.1_00112	ON743042.1_00022
OG0000013	MF599468.1_00033	ON743042.1_00059
OG0000014	MF599468.1_00122	ON743042.1_00123
OG0000015	MF599468.1_00009	ON743042.1_00124
OG0000016	MF599468.1_00046	ON743042.1_00088
OG0000017	MF599468.1_00035	ON743042.1_00034
OG0000018	MF599468.1_00117	ON743042.1_00108
OG0000019	MF599468.1_00106	ON743042.1_00087
OG0000020	MF599468.1_00090	ON743042.1_00032
OG0000021	MF599468.1_00116	ON743042.1_00005
OG0000022	MF599468.1_00071	ON743042.1_00036
OG0000023	MF599468.1_00171	ON743042.1_00046
OG0000026	MF599468.1_00039	ON743042.1_00111
OG0000047	MF599468.1_00013	ON743042.1_00060
OG0000069	MF599468.1_00131	ON743042.1_00099
