Orthogroup	MK689685.1	MF599468.1
OG0000000	MK689685.1_00029	MF599468.1_00057, MF599468.1_00056
OG0000001	MK689685.1_00007	MF599468.1_00152
OG0000003	MK689685.1_00008	MF599468.1_00163
OG0000004	MK689685.1_00015	MF599468.1_00011
OG0000005	MK689685.1_00028	MF599468.1_00030
OG0000006	MK689685.1_00075	MF599468.1_00010
OG0000007	MK689685.1_00089	MF599468.1_00174
OG0000008	MK689685.1_00110	MF599468.1_00092
OG0000009	MK689685.1_00111	MF599468.1_00075
OG0000010	MK689685.1_00005	MF599468.1_00116
OG0000011	MK689685.1_00021	MF599468.1_00112
OG0000012	MK689685.1_00030	MF599468.1_00090
OG0000013	MK689685.1_00032	MF599468.1_00035
OG0000014	MK689685.1_00034	MF599468.1_00071
OG0000015	MK689685.1_00054	MF599468.1_00033
OG0000016	MK689685.1_00061	MF599468.1_00149
OG0000017	MK689685.1_00085	MF599468.1_00106
OG0000018	MK689685.1_00086	MF599468.1_00046
OG0000019	MK689685.1_00105	MF599468.1_00117
OG0000020	MK689685.1_00118	MF599468.1_00122
OG0000021	MK689685.1_00119	MF599468.1_00009
OG0000022	MK689685.1_00043	MF599468.1_00171
OG0000023	MK689685.1_00094	MF599468.1_00154
OG0000024	MK689685.1_00108	MF599468.1_00039
OG0000046	MK689685.1_00055	MF599468.1_00013
OG0000069	MK689685.1_00097	MF599468.1_00131
