Orthogroup	OK042108.1	HF920633.1
OG0000000	OK042108.1_00047	HF920633.1_00044
OG0000001	OK042108.1_00069	HF920633.1_00073
OG0000003	OK042108.1_00068	HF920633.1_00069
OG0000004	OK042108.1_00062	HF920633.1_00127
OG0000005	OK042108.1_00048	HF920633.1_00043
OG0000006	OK042108.1_00001	HF920633.1_00025
OG0000007	OK042108.1_00109	HF920633.1_00091
OG0000008	OK042108.1_00087	HF920633.1_00079
OG0000009	OK042108.1_00085	HF920633.1_00122
OG0000010	OK042108.1_00070	HF920633.1_00097
OG0000011	OK042108.1_00055	HF920633.1_00001
OG0000012	OK042108.1_00046	HF920633.1_00080
OG0000013	OK042108.1_00044	HF920633.1_00158
OG0000014	OK042108.1_00042	HF920633.1_00175
OG0000015	OK042108.1_00020	HF920633.1_00067
OG0000016	OK042108.1_00013	HF920633.1_00118
OG0000017	OK042108.1_00113	HF920633.1_00163
OG0000018	OK042108.1_00112	HF920633.1_00094
OG0000019	OK042108.1_00092	HF920633.1_00003
OG0000020	OK042108.1_00077	HF920633.1_00138
OG0000021	OK042108.1_00076	HF920633.1_00058
OG0000022	OK042108.1_00033	HF920633.1_00017
OG0000025	OK042108.1_00012	HF920633.1_00047
