Orthogroup	KC244182.1	BD143114.1
OG0000000	KC244182.1_00029	BD143114.1_00045
OG0000001	KC244182.1_00008	BD143114.1_00067
OG0000002	KC244182.1_00007	BD143114.1_00068
OG0000003	KC244182.1_00014	BD143114.1_00060
OG0000004	KC244182.1_00112	BD143114.1_00087
OG0000005	KC244182.1_00095	BD143114.1_00104
OG0000006	KC244182.1_00076	BD143114.1_00001
OG0000007	KC244182.1_00090	BD143114.1_00109
OG0000008	KC244182.1_00028	BD143114.1_00046
OG0000009	KC244182.1_00114	BD143114.1_00085
OG0000010	KC244182.1_00077	BD143114.1_00123
OG0000011	KC244182.1_00063	BD143114.1_00013
OG0000012	KC244182.1_00022	BD143114.1_00053
OG0000013	KC244182.1_00056	BD143114.1_00019
OG0000014	KC244182.1_00121	BD143114.1_00077
OG0000015	KC244182.1_00122	BD143114.1_00076
OG0000016	KC244182.1_00087	BD143114.1_00113
OG0000017	KC244182.1_00032	BD143114.1_00042
OG0000018	KC244182.1_00107	BD143114.1_00092
OG0000019	KC244182.1_00086	BD143114.1_00114
OG0000020	KC244182.1_00030	BD143114.1_00044
OG0000021	KC244182.1_00005	BD143114.1_00070
OG0000022	KC244182.1_00034	BD143114.1_00040
OG0000023	KC244182.1_00043	BD143114.1_00031
OG0000024	KC244182.1_00025	BD143114.1_00049
OG0000025	KC244182.1_00064	BD143114.1_00012
OG0000026	KC244182.1_00110	BD143114.1_00089
OG0000027	KC244182.1_00088	BD143114.1_00112
OG0000028	KC244182.1_00046	BD143114.1_00028
OG0000029	KC244182.1_00061	BD143114.1_00015
OG0000030	KC244182.1_00001	BD143114.1_00073
OG0000031	KC244182.1_00006	BD143114.1_00069
OG0000032	KC244182.1_00081	BD143114.1_00119
OG0000033	KC244182.1_00089	BD143114.1_00111, BD143114.1_00110
OG0000034	KC244182.1_00123	BD143114.1_00074, BD143114.1_00075
OG0000035	KC244182.1_00012	BD143114.1_00062
OG0000036	KC244182.1_00013	BD143114.1_00061
OG0000037	KC244182.1_00018	BD143114.1_00056
OG0000038	KC244182.1_00019	BD143114.1_00055
OG0000039	KC244182.1_00023	BD143114.1_00052
OG0000040	KC244182.1_00024	BD143114.1_00051
OG0000041	KC244182.1_00031	BD143114.1_00043
OG0000042	KC244182.1_00035	BD143114.1_00039
OG0000043	KC244182.1_00048	BD143114.1_00027
OG0000044	KC244182.1_00049	BD143114.1_00026
OG0000045	KC244182.1_00054	BD143114.1_00021
OG0000046	KC244182.1_00055	BD143114.1_00020
OG0000047	KC244182.1_00057	BD143114.1_00018
OG0000048	KC244182.1_00058	BD143114.1_00017
OG0000049	KC244182.1_00060	BD143114.1_00016
OG0000050	KC244182.1_00078	BD143114.1_00122
OG0000051	KC244182.1_00082	BD143114.1_00118
OG0000052	KC244182.1_00083	BD143114.1_00117
OG0000053	KC244182.1_00094	BD143114.1_00105
OG0000054	KC244182.1_00096	BD143114.1_00103
OG0000055	KC244182.1_00099	BD143114.1_00100
OG0000056	KC244182.1_00111	BD143114.1_00088
OG0000057	KC244182.1_00116	BD143114.1_00083
OG0000058	KC244182.1_00118	BD143114.1_00081
OG0000059	KC244182.1_00002	BD143114.1_00072
OG0000060	KC244182.1_00010	BD143114.1_00065
OG0000061	KC244182.1_00017	BD143114.1_00057
OG0000062	KC244182.1_00091	BD143114.1_00108
OG0000063	KC244182.1_00072	BD143114.1_00004
OG0000064	KC244182.1_00016	BD143114.1_00058
