Orthogroup	KC244182.1	NC_027778.1
OG0000000	KC244182.1_00029	NC_027778.1_00083
OG0000001	KC244182.1_00008	NC_027778.1_00062
OG0000002	KC244182.1_00007	NC_027778.1_00061
OG0000003	KC244182.1_00014	NC_027778.1_00068
OG0000004	KC244182.1_00112	NC_027778.1_00040
OG0000005	KC244182.1_00095	NC_027778.1_00036
OG0000006	KC244182.1_00076	NC_027778.1_00098
OG0000007	KC244182.1_00090	NC_027778.1_00032
OG0000008	KC244182.1_00028	NC_027778.1_00080
OG0000009	KC244182.1_00114	NC_027778.1_00039
OG0000010	KC244182.1_00077	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	KC244182.1_00063	NC_027778.1_00111
OG0000012	KC244182.1_00022	NC_027778.1_00077
OG0000013	KC244182.1_00056	NC_027778.1_00018
OG0000014	KC244182.1_00121	NC_027778.1_00038
OG0000015	KC244182.1_00122	NC_027778.1_00116
OG0000016	KC244182.1_00087	NC_027778.1_00027
OG0000017	KC244182.1_00032	NC_027778.1_00132
OG0000018	KC244182.1_00107	NC_027778.1_00043
OG0000019	KC244182.1_00086	NC_027778.1_00026
OG0000020	KC244182.1_00030	NC_027778.1_00133
OG0000021	KC244182.1_00005	NC_027778.1_00106
OG0000022	KC244182.1_00034	NC_027778.1_00129
OG0000023	KC244182.1_00043	NC_027778.1_00003
OG0000024	KC244182.1_00025	NC_027778.1_00054
OG0000025	KC244182.1_00064	NC_027778.1_00094, NC_027778.1_00095
OG0000026	KC244182.1_00110	NC_027778.1_00042
OG0000027	KC244182.1_00088	NC_027778.1_00029
OG0000028	KC244182.1_00046	NC_027778.1_00006
OG0000029	KC244182.1_00061	NC_027778.1_00021
OG0000030	KC244182.1_00001	NC_027778.1_00088
OG0000031	KC244182.1_00006	NC_027778.1_00108
OG0000032	KC244182.1_00081	NC_027778.1_00100
OG0000033	KC244182.1_00089	NC_027778.1_00030
OG0000034	KC244182.1_00123	NC_027778.1_00090
OG0000035	KC244182.1_00012	NC_027778.1_00067
OG0000036	KC244182.1_00013	NC_027778.1_00115
OG0000037	KC244182.1_00018	NC_027778.1_00072
OG0000038	KC244182.1_00019	NC_027778.1_00073
OG0000039	KC244182.1_00023	NC_027778.1_00078
OG0000040	KC244182.1_00024	NC_027778.1_00070
OG0000041	KC244182.1_00031	NC_027778.1_00117
OG0000042	KC244182.1_00035	NC_027778.1_00134
OG0000043	KC244182.1_00048	NC_027778.1_00010
OG0000044	KC244182.1_00049	NC_027778.1_00011
OG0000045	KC244182.1_00054	NC_027778.1_00016
OG0000046	KC244182.1_00055	NC_027778.1_00017
OG0000047	KC244182.1_00057	NC_027778.1_00019
OG0000048	KC244182.1_00058	NC_027778.1_00031
OG0000049	KC244182.1_00060	NC_027778.1_00020
OG0000050	KC244182.1_00078	NC_027778.1_00099
OG0000051	KC244182.1_00082	NC_027778.1_00101
OG0000052	KC244182.1_00083	NC_027778.1_00126
OG0000053	KC244182.1_00094	NC_027778.1_00035
OG0000054	KC244182.1_00096	NC_027778.1_00086
OG0000055	KC244182.1_00099	NC_027778.1_00085
OG0000056	KC244182.1_00111	NC_027778.1_00041
OG0000057	KC244182.1_00116	NC_027778.1_00037
OG0000058	KC244182.1_00118	NC_027778.1_00121
OG0000059	KC244182.1_00002	NC_027778.1_00087
OG0000060	KC244182.1_00010	NC_027778.1_00064
OG0000061	KC244182.1_00017	NC_027778.1_00071
OG0000062	KC244182.1_00091	NC_027778.1_00033
OG0000114	KC244182.1_00021	NC_027778.1_00076
OG0000116	KC244182.1_00053	NC_027778.1_00015
OG0000118	KC244182.1_00092	NC_027778.1_00034
