	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
Number of genes	123	141	127	131	125	123	120	178	221	123	158	121	110	281	175	120	120	124	121	124	120	122	124	135	145	136	125	122	127	125	97	135	122	123	124	124	123	125	133	120	123	125	123	122
Number of genes in orthogroups	123	96	124	127	125	123	118	146	137	123	133	121	101	121	109	118	120	124	121	124	120	122	124	135	118	135	124	122	126	125	71	133	122	123	122	124	123	125	133	120	123	125	122	122
Number of unassigned genes	0	45	3	4	0	0	2	32	84	0	25	0	9	160	66	2	0	0	0	0	0	0	0	0	27	1	1	0	1	0	26	2	0	0	2	0	0	0	0	0	0	0	1	0
Percentage of genes in orthogroups	100.0	68.1	97.6	96.9	100.0	100.0	98.3	82.0	62.0	100.0	84.2	100.0	91.8	43.1	62.3	98.3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	81.4	99.3	99.2	100.0	99.2	100.0	73.2	98.5	100.0	100.0	98.4	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2	100.0
Percentage of unassigned genes	0.0	31.9	2.4	3.1	0.0	0.0	1.7	18.0	38.0	0.0	15.8	0.0	8.2	56.9	37.7	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.6	0.7	0.8	0.0	0.8	0.0	26.8	1.5	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0
Number of orthogroups containing species	123	77	120	120	124	121	118	125	100	123	119	121	94	68	71	117	119	124	121	124	120	122	124	128	102	128	122	122	126	125	70	122	122	123	118	124	123	125	126	120	123	124	122	122
Percentage of orthogroups containing species	28.5	17.8	27.8	27.8	28.7	28.0	27.3	28.9	23.1	28.5	27.5	28.0	21.8	15.7	16.4	27.1	27.5	28.7	28.0	28.7	27.8	28.2	28.7	29.6	23.6	29.6	28.2	28.2	29.2	28.9	16.2	28.2	28.2	28.5	27.3	28.7	28.5	28.9	29.2	27.8	28.5	28.7	28.2	28.2
Number of species-specific orthogroups	0	5	0	0	0	0	0	3	5	0	0	0	0	18	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	23	0	0	0	0	0	10	11	0	0	0	0	70	24	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	16.3	0.0	0.0	0.0	0.0	0.0	5.6	5.0	0.0	0.0	0.0	0.0	24.9	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	309	355	312	312	308	311	314	307	332	309	313	311	338	364	361	315	313	308	311	308	312	310	308	304	330	304	310	310	306	307	362	310	310	309	314	308	309	307	306	312	309	308	310	310
'1	123	71	116	114	123	119	118	117	82	123	113	121	92	49	58	116	118	124	121	124	120	122	124	123	93	123	120	122	126	125	69	116	122	123	114	124	123	125	121	120	123	123	122	122
'2	0	3	4	5	1	2	0	3	13	0	4	0	0	9	10	1	1	0	0	0	0	0	0	3	6	3	2	0	0	0	1	3	0	0	4	0	0	0	3	0	0	1	0	0
'3	0	0	0	1	0	0	0	1	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
'4	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
'6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'7	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-15	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	71.5	82.2	72.2	72.2	71.3	72.0	72.7	71.1	76.9	71.5	72.5	72.0	78.2	84.3	83.6	72.9	72.5	71.3	72.0	71.3	72.2	71.8	71.3	70.4	76.4	70.4	71.8	71.8	70.8	71.1	83.8	71.8	71.8	71.5	72.7	71.3	71.5	71.1	70.8	72.2	71.5	71.3	71.8	71.8
