Orthogroup	AF371960.1	KC244182.1
OG0000000	AF371960.1_00031	KC244182.1_00029
OG0000001	AF371960.1_00008	KC244182.1_00008
OG0000002	AF371960.1_00007	KC244182.1_00007
OG0000003	AF371960.1_00015	KC244182.1_00014
OG0000004	AF371960.1_00112	KC244182.1_00112
OG0000005	AF371960.1_00096	KC244182.1_00095
OG0000006	AF371960.1_00078	KC244182.1_00076
OG0000007	AF371960.1_00092	KC244182.1_00090
OG0000008	AF371960.1_00030	KC244182.1_00028
OG0000009	AF371960.1_00113	KC244182.1_00114
OG0000010	AF371960.1_00079	KC244182.1_00077
OG0000011	AF371960.1_00064	KC244182.1_00063
OG0000012	AF371960.1_00021	KC244182.1_00022
OG0000013	AF371960.1_00057	KC244182.1_00056
OG0000014	AF371960.1_00121	KC244182.1_00121
OG0000015	AF371960.1_00122	KC244182.1_00122
OG0000016	AF371960.1_00089	KC244182.1_00087
OG0000017	AF371960.1_00034	KC244182.1_00032
OG0000018	AF371960.1_00107	KC244182.1_00107
OG0000019	AF371960.1_00088	KC244182.1_00086
OG0000020	AF371960.1_00032	KC244182.1_00030
OG0000021	AF371960.1_00005	KC244182.1_00005
OG0000022	AF371960.1_00036	KC244182.1_00034
OG0000023	AF371960.1_00045	KC244182.1_00043
OG0000024	AF371960.1_00027	KC244182.1_00025
OG0000025	AF371960.1_00065	KC244182.1_00064
OG0000026	AF371960.1_00110	KC244182.1_00110
OG0000027	AF371960.1_00090	KC244182.1_00088
OG0000028	AF371960.1_00048	KC244182.1_00046
OG0000029	AF371960.1_00062	KC244182.1_00061
OG0000030	AF371960.1_00001	KC244182.1_00001
OG0000031	AF371960.1_00006	KC244182.1_00006
OG0000032	AF371960.1_00082	KC244182.1_00081
OG0000033	AF371960.1_00091	KC244182.1_00089
OG0000034	AF371960.1_00123	KC244182.1_00123
OG0000035	AF371960.1_00013	KC244182.1_00012
OG0000036	AF371960.1_00014	KC244182.1_00013
OG0000037	AF371960.1_00019	KC244182.1_00018
OG0000038	AF371960.1_00020	KC244182.1_00019
OG0000039	AF371960.1_00022	KC244182.1_00023
OG0000040	AF371960.1_00023	KC244182.1_00024
OG0000041	AF371960.1_00033	KC244182.1_00031
OG0000042	AF371960.1_00037	KC244182.1_00035
OG0000043	AF371960.1_00049	KC244182.1_00048
OG0000044	AF371960.1_00050	KC244182.1_00049
OG0000045	AF371960.1_00055	KC244182.1_00054
OG0000046	AF371960.1_00056	KC244182.1_00055
OG0000047	AF371960.1_00058	KC244182.1_00057
OG0000048	AF371960.1_00060	KC244182.1_00058
OG0000049	AF371960.1_00061	KC244182.1_00060
OG0000050	AF371960.1_00080	KC244182.1_00078
OG0000051	AF371960.1_00083	KC244182.1_00082
OG0000052	AF371960.1_00084	KC244182.1_00083
OG0000053	AF371960.1_00095	KC244182.1_00094
OG0000054	AF371960.1_00097	KC244182.1_00096
OG0000055	AF371960.1_00100	KC244182.1_00099
OG0000056	AF371960.1_00111	KC244182.1_00111
OG0000057	AF371960.1_00115	KC244182.1_00116
OG0000058	AF371960.1_00117	KC244182.1_00118
OG0000059	AF371960.1_00002	KC244182.1_00002
OG0000060	AF371960.1_00010	KC244182.1_00010
OG0000061	AF371960.1_00018	KC244182.1_00017
OG0000062	AF371960.1_00093	KC244182.1_00091
OG0000063	AF371960.1_00073	KC244182.1_00072
