Orthogroup	MF599468	MW883597
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	AF371960.1_00031 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	AF371960.1_00008 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	AF371960.1_00015 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	AF371960.1_00030 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	AF371960.1_00113 hypothetical protein
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	AF371960.1_00005 hypothetical protein
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	AF371960.1_00007 Major capsid protein
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	AF371960.1_00021 hypothetical protein
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	AF371960.1_00032 hypothetical protein
OG0000009	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000010	MF599468.1_00033 MF599468.1 - hypothetical protein translation	AF371960.1_00057 hypothetical protein
OG0000011	MF599468.1_00149 MF599468.1 - hypothetical protein translation	AF371960.1_00064 hypothetical protein
OG0000012	MF599468.1_00106 MF599468.1 - hypothetical protein translation	AF371960.1_00088 hypothetical protein
OG0000013	MF599468.1_00174 MF599468.1 - hypothetical protein translation	AF371960.1_00092 hypothetical protein
OG0000014	MF599468.1_00117 MF599468.1 - hypothetical protein translation	AF371960.1_00107 hypothetical protein
OG0000015	MF599468.1_00122 MF599468.1 - hypothetical protein translation	AF371960.1_00121 hypothetical protein
OG0000016	MF599468.1_00009 MF599468.1 - hypothetical protein translation	AF371960.1_00122 hypothetical protein
OG0000018	MF599468.1_00035 MF599468.1 - hypothetical protein translation	AF371960.1_00034 hypothetical protein
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	AF371960.1_00078 hypothetical protein
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	AF371960.1_00089 hypothetical protein
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	AF371960.1_00096 hypothetical protein
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	AF371960.1_00112 hypothetical protein
OG0000030	MF599468.1_00013 MF599468.1 - hypothetical protein translation	AF371960.1_00058 hypothetical protein
OG0000064	MF599468.1_00131 MF599468.1 - hypothetical protein translation	AF371960.1_00099 hypothetical protein
