Orthogroup	MF599468	HF920637
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MF599468.1_00033 MF599468.1 - hypothetical protein translation	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	MF599468.1_00149 MF599468.1 - hypothetical protein translation	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	MF599468.1_00106 MF599468.1 - hypothetical protein translation	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	MF599468.1_00174 MF599468.1 - hypothetical protein translation	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	MF599468.1_00117 MF599468.1 - hypothetical protein translation	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	MF599468.1_00122 MF599468.1 - hypothetical protein translation	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	MF599468.1_00009 MF599468.1 - hypothetical protein translation	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000018	MF599468.1_00035 MF599468.1 - hypothetical protein translation	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000124	MF599468.1_00114 MF599468.1 - hypothetical protein translation	HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637.1_00102 HF920637.1 - hypothetical protein translation, HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637.1_00096 HF920637.1 - hypothetical protein translation
OG0000125	MF599468.1_00036 MF599468.1 - hypothetical protein translation	HF920637.1_00018 HF920637.1 - hypothetical protein translation
OG0000125	MF599468.1_00096 MF599468.1 - hypothetical protein translation	HF920637.1_00138 HF920637.1 - hypothetical protein translation
