Orthogroup	MF599468	PQ335173_PQ335174
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	MF599468.1_00116 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	MF599468.1_00152 MF599468.1 - Major capsid protein translation	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	MF599468.1_00112 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	MF599468.1_00090 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MF599468.1_00033 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	MF599468.1_00149 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	MF599468.1_00106 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	MF599468.1_00174 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	MF599468.1_00117 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	MF599468.1_00122 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	MF599468.1_00009 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000018	MF599468.1_00035 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	MF599468.1_00010 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	MF599468.1_00046 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	MF599468.1_00154 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	MF599468.1_00092 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	MF599468.1_00013 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000064	MF599468.1_00131 MF599468.1 - hypothetical protein translation	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation
