Orthogroup	OM037668	MK637631
OG0000000	OM037668.1_00010 hypothetical protein	MK637631_00067 hypothetical protein
OG0000000	SDDV_ORF011 Tripartite motif-containing protein	MK637631_00068 hypothetical protein
OG0000001	OM037668.1_00050 hypothetical protein	MK637631_00030 hypothetical protein
OG0000002	OM037668.1_00031 hypothetical protein	MK637631_00119 hypothetical protein
OG0000003	OM037668.1_00013 hypothetical protein	MK637631_00070 hypothetical protein
OG0000004	OM037668.1_00057 Major capsid protein	MK637631_00044 Major capsid protein
OG0000005	OM037668.1_00056 hypothetical protein	MK637631_00025 hypothetical protein
OG0000006	OM037668.1_00005 hypothetical protein	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000007	OM037668.1_00047 hypothetical protein	MK637631_00033 hypothetical protein
OG0000008	OM037668.1_00046 hypothetical protein	MK637631_00021 hypothetical protein
OG0000009	OM037668.1_00045 hypothetical protein	MK637631_00020 hypothetical protein
OG0000010	OM037668.1_00041 hypothetical protein	MK637631_00017 hypothetical protein
OG0000011	OM037668.1_00040 hypothetical protein	MK637631_00016 hypothetical protein
OG0000012	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000013	SDDV_ORF038 Flap endonuclease	MK637631_00114 hypothetical protein
OG0000014	OM037668.1_00035 hypothetical protein	MK637631_00115 hypothetical protein
OG0000015	OM037668.1_00123 hypothetical protein	MK637631_00043 hypothetical protein
OG0000016	OM037668.1_00122 hypothetical protein	MK637631_00042 hypothetical protein
OG0000017	OM037668.1_00113 hypothetical protein	MK637631_00074 hypothetical protein
OG0000018	OM037668.1_00110 hypothetical protein	MK637631_00077 hypothetical protein
OG0000019	OM037668.1_00106 hypothetical protein	MK637631_00079 hypothetical protein
OG0000020	OM037668.1_00105 hypothetical protein	MK637631_00080 hypothetical protein
OG0000021	OM037668.1_00100 hypothetical protein	MK637631_00084 hypothetical protein
OG0000022	OM037668.1_00099 hypothetical protein	MK637631_00085 hypothetical protein
OG0000023	OM037668.1_00098 hypothetical protein	MK637631_00086 hypothetical protein
