Orthogroup	MF599468	HF920633
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	HF920633.1_00044 hypothetical protein
OG0000001	MF599468.1_00163 MF599468.1 - hypothetical protein translation	HF920633.1_00069 hypothetical protein
OG0000002	MF599468.1_00011 MF599468.1 - hypothetical protein translation	HF920633.1_00127 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	HF920633.1_00043 hypothetical protein
OG0000004	MF599468.1_00116 MF599468.1 - hypothetical protein translation	HF920633.1_00097 hypothetical protein
OG0000005	MF599468.1_00152 MF599468.1 - Major capsid protein translation	HF920633.1_00073 Major capsid protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	HF920633.1_00001 hypothetical protein
OG0000007	MF599468.1_00090 MF599468.1 - hypothetical protein translation	HF920633.1_00080 hypothetical protein
OG0000008	MF599468.1_00035 MF599468.1 - hypothetical protein translation	HF920633.1_00158 hypothetical protein
OG0000009	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	MF599468.1_00033 MF599468.1 - hypothetical protein translation	HF920633.1_00067 hypothetical protein
OG0000011	MF599468.1_00149 MF599468.1 - hypothetical protein translation	HF920633.1_00118 hypothetical protein
OG0000012	MF599468.1_00106 MF599468.1 - hypothetical protein translation	HF920633.1_00163 hypothetical protein
OG0000013	MF599468.1_00174 MF599468.1 - hypothetical protein translation	HF920633.1_00091 hypothetical protein
OG0000014	MF599468.1_00117 MF599468.1 - hypothetical protein translation	HF920633.1_00003 hypothetical protein
OG0000015	MF599468.1_00122 MF599468.1 - hypothetical protein translation	HF920633.1_00138 hypothetical protein
OG0000016	MF599468.1_00009 MF599468.1 - hypothetical protein translation	HF920633.1_00058 hypothetical protein
OG0000018	MF599468.1_00010 MF599468.1 - hypothetical protein translation	HF920633.1_00025 hypothetical protein
OG0000019	MF599468.1_00046 MF599468.1 - hypothetical protein translation	HF920633.1_00094 hypothetical protein
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	HF920633.1_00085 hypothetical protein
OG0000021	MF599468.1_00092 MF599468.1 - hypothetical protein translation	HF920633.1_00079 hypothetical protein
OG0000023	MF599468.1_00075 MF599468.1 - hypothetical protein translation	HF920633.1_00122 hypothetical protein
OG0000121	MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein
OG0000126	MF599468.1_00096 MF599468.1 - hypothetical protein translation	HF920633.1_00086 hypothetical protein
OG0000128	MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation	HF920633.1_00116 hypothetical protein
OG0000132	MF599468.1_00002 MF599468.1 - hypothetical protein translation	HF920633.1_00135 hypothetical protein
OG0000135	MF599468.1_00051 MF599468.1 - hypothetical protein translation	HF920633.1_00053 hypothetical protein
OG0000140	MF599468.1_00161 MF599468.1 - hypothetical protein translation	HF920633.1_00026 hypothetical protein
OG0000141	MF599468.1_00027 MF599468.1 - hypothetical protein translation	HF920633.1_00064 hypothetical protein
OG0000148	MF599468.1_00074 MF599468.1 - hypothetical protein translation	HF920633.1_00036 hypothetical protein
OG0000149	MF599468.1_00142 MF599468.1 - Deoxyuridine	HF920633.1_00106 hypothetical protein
OG0000152	MF599468.1_00060 MF599468.1 - hypothetical protein translation	HF920633.1_00024 hypothetical protein
OG0000159	MF599468.1_00141 MF599468.1 - hypothetical protein translation	HF920633.1_00134 hypothetical protein
OG0000161	MF599468.1_00004 MF599468.1 - hypothetical protein translation	HF920633.1_00105 hypothetical protein
OG0000162	MF599468.1_00162 MF599468.1 - hypothetical protein translation	HF920633.1_00082 hypothetical protein
OG0000163	MF599468.1_00067 MF599468.1 - DNA ligase translation	HF920633.1_00169 DNA ligase
OG0000164	MF599468.1_00105 MF599468.1 - hypothetical protein translation	HF920633.1_00177 hypothetical protein
OG0000165	MF599468.1_00081 MF599468.1 - hypothetical protein translation	HF920633.1_00144 hypothetical protein
OG0000166	MF599468.1_00045 MF599468.1 - hypothetical protein translation	HF920633.1_00145 hypothetical protein
OG0000167	MF599468.1_00155 MF599468.1 - hypothetical protein translation	HF920633.1_00046 hypothetical protein
OG0000175	MF599468.1_00129 MF599468.1 - hypothetical protein translation	HF920633.1_00128 hypothetical protein
OG0000176	MF599468.1_00022 MF599468.1 - hypothetical protein translation	HF920633.1_00110 hypothetical protein
OG0000178	MF599468.1_00079 MF599468.1 - hypothetical protein translation	HF920633.1_00149 DNA topoisomerase 2
OG0000179	MF599468.1_00037 MF599468.1 - hypothetical protein translation	HF920633.1_00165 hypothetical protein
OG0000180	MF599468.1_00025 MF599468.1 - hypothetical protein translation	HF920633.1_00103 hypothetical protein
OG0000182	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation	HF920633.1_00032 hypothetical protein
OG0000183	MF599468.1_00043 MF599468.1 - hypothetical protein translation	HF920633.1_00022 hypothetical protein
OG0000186	MF599468.1_00015 MF599468.1 - hypothetical protein translation	HF920633.1_00120 hypothetical protein
OG0000188	MF599468.1_00172 MF599468.1 - hypothetical protein translation	HF920633.1_00056 hypothetical protein
OG0000189	MF599468.1_00044 MF599468.1 - hypothetical protein translation	HF920633.1_00123 hypothetical protein
OG0000191	MF599468.1_00065 MF599468.1 - hypothetical protein translation	HF920633.1_00098 hypothetical protein
OG0000196	MF599468.1_00125 MF599468.1 - hypothetical protein translation	HF920633.1_00125 hypothetical protein
