Orthogroup	AY779031.1	AF303741.1
OG0000000	AY779031.1_00034	AF303741.1_00079, AF303741.1_00152
OG0000001	AY779031.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	AY779031.1_00007	AF303741.1_00125
OG0000003	AY779031.1_00015, AY779031.1_00016	AF303741.1_00035
OG0000004	AY779031.1_00121	AF303741.1_00080
OG0000005	AY779031.1_00103	AF303741.1_00129
OG0000006	AY779031.1_00083	AF303741.1_00132
OG0000007	AY779031.1_00098	AF303741.1_00149
OG0000008	AY779031.1_00033	AF303741.1_00165
OG0000009	AY779031.1_00122	AF303741.1_00176
OG0000011	AY779031.1_00068	AF303741.1_00006
OG0000012	AY779031.1_00023	AF303741.1_00011
OG0000013	AY779031.1_00061	AF303741.1_00023
OG0000014	AY779031.1_00129	AF303741.1_00026
OG0000015	AY779031.1_00130	AF303741.1_00046
OG0000016	AY779031.1_00095	AF303741.1_00062
OG0000017	AY779031.1_00037	AF303741.1_00063
OG0000018	AY779031.1_00116	AF303741.1_00081
OG0000019	AY779031.1_00094	AF303741.1_00137
OG0000020	AY779031.1_00035	AF303741.1_00156
OG0000021	AY779031.1_00005	AF303741.1_00158
OG0000022	AY779031.1_00039	AF303741.1_00189
OG0000023	AY779031.1_00049	AF303741.1_00154
OG0000025	AY779031.1_00069	AF303741.1_00051
