Orthogroup	MK637631	OQ475017
OG0000000	MK637631_00067 hypothetical protein, MK637631_00068 hypothetical protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000001	MK637631_00030 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	MK637631_00119 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000003	MK637631_00070 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000004	MK637631_00044 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000005	MK637631_00025 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000006	ECIV_ORF26_refgen RING E3 ubiquitin ligase	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000007	MK637631_00033 hypothetical protein	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000008	MK637631_00021 hypothetical protein	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000009	MK637631_00020 hypothetical protein	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000010	MK637631_00017 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000011	MK637631_00016 hypothetical protein	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000012	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000013	MK637631_00114 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000014	MK637631_00115 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000015	MK637631_00043 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	MK637631_00042 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
OG0000017	MK637631_00074 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000018	MK637631_00077 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000019	MK637631_00079 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000020	MK637631_00080 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000021	MK637631_00084 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000022	MK637631_00085 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000023	MK637631_00086 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000024	MK637631_00087 hypothetical protein	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000025	MK637631_00088 hypothetical protein	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000026	MK637631_00066 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000027	MK637631_00006 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000028	MK637631_00095 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000029	MK637631_00096 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000030	MK637631_00097 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000031	MK637631_00022 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000032	MK637631_00011 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000033	MK637631_00010 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000034	MK637631_00037 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000035	MK637631_00039 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000036	MK637631_00056 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
