Orthogroup	MK098187.1	AY779031.1
OG0000000	MK098187.1_00033	AY779031.1_00034
OG0000001	MK098187.1_00008	AY779031.1_00008
OG0000002	MK098187.1_00007	AY779031.1_00007
OG0000003	MK098187.1_00015	AY779031.1_00015, AY779031.1_00016
OG0000004	MK098187.1_00112	AY779031.1_00121
OG0000005	MK098187.1_00095	AY779031.1_00103
OG0000006	MK098187.1_00076	AY779031.1_00083, AY779031.1_00084
OG0000007	MK098187.1_00090	AY779031.1_00098
OG0000008	MK098187.1_00032	AY779031.1_00033
OG0000009	MK098187.1_00114	AY779031.1_00122
OG0000010	MK098187.1_00077	AY779031.1_00085
OG0000011	MK098187.1_00064	AY779031.1_00068
OG0000012	MK098187.1_00022	AY779031.1_00023
OG0000013	MK098187.1_00058	AY779031.1_00061
OG0000014	MK098187.1_00122	AY779031.1_00129
OG0000015	MK098187.1_00123	AY779031.1_00130
OG0000016	MK098187.1_00087	AY779031.1_00095
OG0000017	MK098187.1_00036	AY779031.1_00037
OG0000018	MK098187.1_00107	AY779031.1_00116
OG0000019	MK098187.1_00086	AY779031.1_00094
OG0000020	MK098187.1_00034	AY779031.1_00035
OG0000021	MK098187.1_00005	AY779031.1_00005
OG0000022	MK098187.1_00038	AY779031.1_00039
OG0000023	MK098187.1_00047	AY779031.1_00049
OG0000025	MK098187.1_00065	AY779031.1_00069
OG0000026	MK098187.1_00110	AY779031.1_00119
OG0000027	MK098187.1_00088	AY779031.1_00096
OG0000028	MK098187.1_00050	AY779031.1_00052
OG0000029	MK098187.1_00062	AY779031.1_00066
OG0000030	MK098187.1_00001	AY779031.1_00001
OG0000031	MK098187.1_00006	AY779031.1_00006
OG0000032	MK098187.1_00081	AY779031.1_00089
OG0000033	MK098187.1_00089	AY779031.1_00097
OG0000034	MK098187.1_00124	AY779031.1_00131
OG0000035	MK098187.1_00013	AY779031.1_00013
OG0000036	MK098187.1_00014	AY779031.1_00014
OG0000037	MK098187.1_00019	AY779031.1_00019
OG0000038	MK098187.1_00020	AY779031.1_00020
OG0000039	MK098187.1_00023	AY779031.1_00024
