Orthogroup	MT926123.1	OM037668.1
OG0000000	MT926123.1_00032	OM037668.1_00035
OG0000001	MT926123.1_00008	OM037668.1_00056
OG0000002	MT926123.1_00007	OM037668.1_00057
OG0000003	MT926123.1_00015	OM037668.1_00050
OG0000004	MT926123.1_00112	OM037668.1_00076
OG0000005	MT926123.1_00096	OM037668.1_00080
OG0000006	MT926123.1_00079	OM037668.1_00021
OG0000007	MT926123.1_00093	OM037668.1_00084
OG0000008	MT926123.1_00031	OM037668.1_00038
OG0000009	MT926123.1_00113	OM037668.1_00077
OG0000010	MT926123.1_00080	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	MT926123.1_00065	OM037668.1_00009
OG0000012	MT926123.1_00022	OM037668.1_00041
OG0000013	MT926123.1_00058	OM037668.1_00098
OG0000014	MT926123.1_00120	OM037668.1_00078
OG0000015	MT926123.1_00121	OM037668.1_00004
OG0000016	MT926123.1_00090	OM037668.1_00089
OG0000017	MT926123.1_00035	OM037668.1_00124
OG0000018	MT926123.1_00107	OM037668.1_00073
OG0000019	MT926123.1_00089	OM037668.1_00090
OG0000020	MT926123.1_00033	OM037668.1_00123
OG0000021	MT926123.1_00005	OM037668.1_00013
OG0000022	MT926123.1_00037	OM037668.1_00127
OG0000023	MT926123.1_00046	OM037668.1_00113
OG0000024	MT926123.1_00028	OM037668.1_00064
OG0000025	MT926123.1_00066	OM037668.1_00024
OG0000026	MT926123.1_00110	OM037668.1_00074
OG0000027	MT926123.1_00091	OM037668.1_00087
OG0000028	MT926123.1_00049	OM037668.1_00110
OG0000029	MT926123.1_00063	OM037668.1_00095
OG0000030	MT926123.1_00001	OM037668.1_00030
OG0000031	MT926123.1_00006	OM037668.1_00011
OG0000032	MT926123.1_00083	OM037668.1_00019
OG0000033	MT926123.1_00092	OM037668.1_00086
OG0000034	MT926123.1_00122	OM037668.1_00028
OG0000035	MT926123.1_00013	OM037668.1_00051
OG0000036	MT926123.1_00014	OM037668.1_00005
OG0000037	MT926123.1_00019	OM037668.1_00046
OG0000038	MT926123.1_00020	OM037668.1_00045
OG0000039	MT926123.1_00023	OM037668.1_00040
OG0000040	MT926123.1_00024	OM037668.1_00048
OG0000041	MT926123.1_00034	OM037668.1_00003
OG0000042	MT926123.1_00038	OM037668.1_00122
OG0000043	MT926123.1_00050	OM037668.1_00106
OG0000044	MT926123.1_00051	OM037668.1_00105
OG0000045	MT926123.1_00056	OM037668.1_00100
OG0000046	MT926123.1_00057	OM037668.1_00099
OG0000047	MT926123.1_00059	OM037668.1_00097
OG0000048	MT926123.1_00061	OM037668.1_00085
OG0000049	MT926123.1_00062	OM037668.1_00096
OG0000050	MT926123.1_00081	OM037668.1_00020
OG0000051	MT926123.1_00084	OM037668.1_00018
OG0000052	MT926123.1_00085	OM037668.1_00130
OG0000053	MT926123.1_00095	OM037668.1_00081
OG0000054	MT926123.1_00097	OM037668.1_00032
OG0000055	MT926123.1_00100	OM037668.1_00033
OG0000056	MT926123.1_00111	OM037668.1_00075
OG0000057	MT926123.1_00115	OM037668.1_00079
OG0000058	MT926123.1_00117	OM037668.1_00134
OG0000059	MT926123.1_00002	OM037668.1_00031
OG0000060	MT926123.1_00010	OM037668.1_00054
OG0000061	MT926123.1_00018	OM037668.1_00047
OG0000096	MT926123.1_00118	OM037668.1_00091
OG0000114	MT926123.1_00021	OM037668.1_00042
OG0000115	MT926123.1_00011	OM037668.1_00053
OG0000116	MT926123.1_00055	OM037668.1_00101
OG0000118	MT926123.1_00094	OM037668.1_00082
OG0000129	MT926123.1_00075	OM037668.1_00062
