Orthogroup	AF303741.1	AY521625.1
OG0000000	AF303741.1_00079, AF303741.1_00152	AY521625.1_00091
OG0000001	AF303741.1_00200, AF303741.1_00047	AY521625.1_00077
OG0000002	AF303741.1_00125	AY521625.1_00064
OG0000003	AF303741.1_00035	AY521625.1_00130
OG0000004	AF303741.1_00080	AY521625.1_00069, AY521625.1_00070
OG0000005	AF303741.1_00129	AY521625.1_00100
OG0000006	AF303741.1_00132	AY521625.1_00051
OG0000007	AF303741.1_00149	AY521625.1_00016
OG0000008	AF303741.1_00165	AY521625.1_00085
OG0000009	AF303741.1_00176	AY521625.1_00142
OG0000011	AF303741.1_00006	AY521625.1_00053
OG0000012	AF303741.1_00011	AY521625.1_00110
OG0000013	AF303741.1_00023	AY521625.1_00048
OG0000014	AF303741.1_00026	AY521625.1_00115
OG0000015	AF303741.1_00046	AY521625.1_00035
OG0000016	AF303741.1_00062	AY521625.1_00073
OG0000017	AF303741.1_00063	AY521625.1_00059
OG0000018	AF303741.1_00081	AY521625.1_00047
OG0000019	AF303741.1_00137	AY521625.1_00086
OG0000020	AF303741.1_00156	AY521625.1_00074
OG0000021	AF303741.1_00158	AY521625.1_00054
OG0000022	AF303741.1_00189	AY521625.1_00065
OG0000023	AF303741.1_00154	AY521625.1_00062
OG0000024	AF303741.1_00168	AY521625.1_00042
OG0000113	AF303741.1_00169	AY521625.1_00036
OG0000134	AF303741.1_00126	AY521625.1_00098
OG0000135	AF303741.1_00157	AY521625.1_00102
OG0000137	AF303741.1_00031	AY521625.1_00056
OG0000148	AF303741.1_00072	AY521625.1_00133
OG0000156	AF303741.1_00192	AY521625.1_00044
OG0000172	AF303741.1_00105	AY521625.1_00014
