Orthogroup	AF303741.1	OK042109.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OK042109.1_00047
OG0000001	AF303741.1_00200, AF303741.1_00047	OK042109.1_00068
OG0000002	AF303741.1_00125	OK042109.1_00069
OG0000003	AF303741.1_00035	OK042109.1_00061
OG0000004	AF303741.1_00080	OK042109.1_00088
OG0000005	AF303741.1_00129	OK042109.1_00105
OG0000006	AF303741.1_00132	OK042109.1_00001
OG0000007	AF303741.1_00149	OK042109.1_00110
OG0000008	AF303741.1_00165	OK042109.1_00048
OG0000009	AF303741.1_00176	OK042109.1_00086
OG0000011	AF303741.1_00006	OK042109.1_00013
OG0000012	AF303741.1_00011	OK042109.1_00054
OG0000013	AF303741.1_00023	OK042109.1_00020
OG0000014	AF303741.1_00026	OK042109.1_00078
OG0000015	AF303741.1_00046	OK042109.1_00077
OG0000016	AF303741.1_00062	OK042109.1_00113
OG0000017	AF303741.1_00063	OK042109.1_00044
OG0000018	AF303741.1_00081	OK042109.1_00093
OG0000019	AF303741.1_00137	OK042109.1_00114
OG0000020	AF303741.1_00156	OK042109.1_00046
OG0000021	AF303741.1_00158	OK042109.1_00071
OG0000022	AF303741.1_00189	OK042109.1_00042
OG0000023	AF303741.1_00154	OK042109.1_00033
OG0000024	AF303741.1_00168	OK042109.1_00051
