Orthogroup	AF303741.1	OL310752.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OL310752.1_00108, OL310752.1_00113
OG0000001	AF303741.1_00200, AF303741.1_00047	OL310752.1_00018
OG0000002	AF303741.1_00125	OL310752.1_00019
OG0000003	AF303741.1_00035	OL310752.1_00012
OG0000004	AF303741.1_00080	OL310752.1_00060
OG0000005	AF303741.1_00129	OL310752.1_00036
OG0000006	AF303741.1_00132	OL310752.1_00078
OG0000007	AF303741.1_00149	OL310752.1_00042
OG0000008	AF303741.1_00165	OL310752.1_00107
OG0000009	AF303741.1_00176	OL310752.1_00116
OG0000011	AF303741.1_00006	OL310752.1_00027
OG0000012	AF303741.1_00011	OL310752.1_00004
OG0000013	AF303741.1_00023	OL310752.1_00096
OG0000014	AF303741.1_00026	OL310752.1_00071
OG0000015	AF303741.1_00046	OL310752.1_00072
OG0000016	AF303741.1_00062	OL310752.1_00045
OG0000017	AF303741.1_00063	OL310752.1_00085
OG0000018	AF303741.1_00081	OL310752.1_00065
OG0000019	AF303741.1_00137	OL310752.1_00046
OG0000020	AF303741.1_00156	OL310752.1_00114
OG0000021	AF303741.1_00158	OL310752.1_00021
OG0000022	AF303741.1_00189	OL310752.1_00083
OG0000023	AF303741.1_00154	OL310752.1_00052
OG0000024	AF303741.1_00168	OL310752.1_00104
OG0000025	AF303741.1_00051	OL310752.1_00028
