Orthogroup	AF303741.1	OL774653.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OL774653.1_00051
OG0000001	AF303741.1_00200, AF303741.1_00047	OL774653.1_00026
OG0000002	AF303741.1_00125	OL774653.1_00025
OG0000003	AF303741.1_00035	OL774653.1_00032
OG0000004	AF303741.1_00080	OL774653.1_00006
OG0000005	AF303741.1_00129	OL774653.1_00114
OG0000006	AF303741.1_00132	OL774653.1_00094
OG0000007	AF303741.1_00149	OL774653.1_00108
OG0000008	AF303741.1_00165	OL774653.1_00050
OG0000009	AF303741.1_00176	OL774653.1_00008
OG0000011	AF303741.1_00006	OL774653.1_00082
OG0000012	AF303741.1_00011	OL774653.1_00039
OG0000013	AF303741.1_00023	OL774653.1_00076
OG0000014	AF303741.1_00026	OL774653.1_00016
OG0000015	AF303741.1_00046	OL774653.1_00017
OG0000016	AF303741.1_00062	OL774653.1_00105
OG0000017	AF303741.1_00063	OL774653.1_00054
OG0000018	AF303741.1_00081	OL774653.1_00001
OG0000019	AF303741.1_00137	OL774653.1_00104
OG0000020	AF303741.1_00156	OL774653.1_00052
OG0000021	AF303741.1_00158	OL774653.1_00023
OG0000022	AF303741.1_00189	OL774653.1_00056
OG0000023	AF303741.1_00154	OL774653.1_00065
OG0000024	AF303741.1_00168	OL774653.1_00047
OG0000025	AF303741.1_00051	OL774653.1_00083
