Orthogroup	AF303741.1	ON740976.1
OG0000000	AF303741.1_00079, AF303741.1_00152	ON740976.1_00030
OG0000001	AF303741.1_00200, AF303741.1_00047	ON740976.1_00008
OG0000002	AF303741.1_00125	ON740976.1_00007
OG0000003	AF303741.1_00035	ON740976.1_00014
OG0000004	AF303741.1_00080	ON740976.1_00111
OG0000005	AF303741.1_00129	ON740976.1_00094
OG0000006	AF303741.1_00132	ON740976.1_00075
OG0000007	AF303741.1_00149	ON740976.1_00089
OG0000008	AF303741.1_00165	ON740976.1_00029
OG0000009	AF303741.1_00176	ON740976.1_00113
OG0000011	AF303741.1_00006	ON740976.1_00063
OG0000012	AF303741.1_00011	ON740976.1_00021
OG0000013	AF303741.1_00023	ON740976.1_00057
OG0000014	AF303741.1_00026	ON740976.1_00121
OG0000015	AF303741.1_00046	ON740976.1_00122
OG0000016	AF303741.1_00062	ON740976.1_00086
OG0000017	AF303741.1_00063	ON740976.1_00033
OG0000018	AF303741.1_00081	ON740976.1_00106
OG0000019	AF303741.1_00137	ON740976.1_00085
OG0000020	AF303741.1_00156	ON740976.1_00031
OG0000021	AF303741.1_00158	ON740976.1_00005
OG0000022	AF303741.1_00189	ON740976.1_00035
OG0000023	AF303741.1_00154	ON740976.1_00044
OG0000024	AF303741.1_00168	ON740976.1_00026
OG0000025	AF303741.1_00051	ON740976.1_00064
