Orthogroup	AF303741.1	MN803438.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MN803438.1_00124
OG0000001	AF303741.1_00200, AF303741.1_00047	MN803438.1_00101, MN803438.1_00056
OG0000002	AF303741.1_00125	MN803438.1_00023
OG0000003	AF303741.1_00035	MN803438.1_00113
OG0000004	AF303741.1_00080	MN803438.1_00104
OG0000005	AF303741.1_00129	MN803438.1_00071
OG0000006	AF303741.1_00132	MN803438.1_00142
OG0000007	AF303741.1_00149	MN803438.1_00027
OG0000008	AF303741.1_00165	MN803438.1_00106
OG0000009	AF303741.1_00176	MN803438.1_00109
OG0000011	AF303741.1_00006	MN803438.1_00049
OG0000012	AF303741.1_00011	MN803438.1_00128
OG0000013	AF303741.1_00023	MN803438.1_00007
OG0000014	AF303741.1_00026	MN803438.1_00070
OG0000015	AF303741.1_00046	MN803438.1_00046
OG0000016	AF303741.1_00062	MN803438.1_00122
OG0000017	AF303741.1_00063	MN803438.1_00035
OG0000018	AF303741.1_00081	MN803438.1_00051
OG0000019	AF303741.1_00137	MN803438.1_00097
OG0000020	AF303741.1_00156	MN803438.1_00068
OG0000021	AF303741.1_00158	MN803438.1_00089
OG0000022	AF303741.1_00189	MN803438.1_00013
OG0000023	AF303741.1_00154	MN803438.1_00077
OG0000024	AF303741.1_00168	MN803438.1_00024
OG0000113	AF303741.1_00169	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125
OG0000113	AF303741.1_00170	MN803438.1_00012
OG0000134	AF303741.1_00126	MN803438.1_00115
OG0000135	AF303741.1_00157	MN803438.1_00006
OG0000137	AF303741.1_00031	MN803438.1_00105
OG0000138	AF303741.1_00100, AF303741.1_00162	MN803438.1_00137
OG0000139	AF303741.1_00101	MN803438.1_00005
OG0000155	AF303741.1_00183	MN803438.1_00135
