Orthogroup	AF303741.1	MW139932.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MW139932.1_00033
OG0000001	AF303741.1_00200, AF303741.1_00047	MW139932.1_00008
OG0000002	AF303741.1_00125	MW139932.1_00007
OG0000003	AF303741.1_00035	MW139932.1_00015
OG0000004	AF303741.1_00080	MW139932.1_00113
OG0000005	AF303741.1_00129	MW139932.1_00096
OG0000006	AF303741.1_00132	MW139932.1_00077
OG0000007	AF303741.1_00149	MW139932.1_00091
OG0000008	AF303741.1_00165	MW139932.1_00032
OG0000009	AF303741.1_00176	MW139932.1_00115
OG0000011	AF303741.1_00006	MW139932.1_00065
OG0000012	AF303741.1_00011	MW139932.1_00023
OG0000013	AF303741.1_00023	MW139932.1_00059
OG0000014	AF303741.1_00026	MW139932.1_00123
OG0000015	AF303741.1_00046	MW139932.1_00124
OG0000016	AF303741.1_00062	MW139932.1_00088
OG0000017	AF303741.1_00063	MW139932.1_00036
OG0000018	AF303741.1_00081	MW139932.1_00108
OG0000019	AF303741.1_00137	MW139932.1_00087
OG0000020	AF303741.1_00156	MW139932.1_00034
OG0000021	AF303741.1_00158	MW139932.1_00005
OG0000022	AF303741.1_00189	MW139932.1_00038
OG0000023	AF303741.1_00154	MW139932.1_00047
OG0000024	AF303741.1_00168	MW139932.1_00029
OG0000025	AF303741.1_00051	MW139932.1_00066
