Orthogroup	GQ273492	MT128666
OG0000000	GQ273492.1_00090 hypothetical protein	ORF094L_refgen ORF094L
OG0000001	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L
OG0000002	GQ273492.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein
OG0000003	GQ273492.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein
OG0000004	GQ273492.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000005	GQ273492.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000006	GQ273492.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000007	GQ273492.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein
OG0000008	GQ273492.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein
OG0000009	GQ273492.1_00013 hypothetical protein	AF371960.1_00013 hypothetical protein
OG0000010	GQ273492.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein
OG0000011	GQ273492.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000012	ORF14R_refgen ORF14R	AF371960.1_00017 hypothetical protein
OG0000013	GQ273492.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein
OG0000014	GQ273492.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein
OG0000015	GQ273492.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein
OG0000016	GQ273492.1_00022 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000017	GQ273492.1_00023 hypothetical protein	AF371960.1_00022 hypothetical protein
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00029 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000020	GQ273492.1_00030 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000021	GQ273492.1_00031 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000022	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	AF371960.1_00034 hypothetical protein
