Orthogroup	GQ273492	MG570131
OG0000000	GQ273492.1_00090 hypothetical protein	MG570131.1_00090 hypothetical protein
OG0000001	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	MG570131.1_00065 hypothetical protein
OG0000002	GQ273492.1_00002 hypothetical protein	MG570131.1_00002 hypothetical protein
OG0000003	GQ273492.1_00003 hypothetical protein	MG570131.1_00003 hypothetical protein
OG0000004	GQ273492.1_00005 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase
OG0000005	GQ273492.1_00007 Major capsid protein	MG570131.1_00008 Major capsid protein
OG0000006	GQ273492.1_00008 hypothetical protein	MG570131.1_00009 hypothetical protein
OG0000007	GQ273492.1_00009 hypothetical protein	MG570131.1_00010 hypothetical protein
OG0000008	GQ273492.1_00012 hypothetical protein	MG570131.1_00013 hypothetical protein
OG0000009	GQ273492.1_00013 hypothetical protein	MG570131.1_00014 hypothetical protein
OG0000010	GQ273492.1_00014 hypothetical protein	MG570131.1_00015 hypothetical protein
OG0000011	GQ273492.1_00015 hypothetical protein	MG570131.1_00016 hypothetical protein
OG0000012	ORF14R_refgen ORF14R	MG570131.1_00018 hypothetical protein
OG0000013	GQ273492.1_00018 hypothetical protein	MG570131.1_00019 hypothetical protein
OG0000014	GQ273492.1_00019 hypothetical protein	MG570131.1_00020 hypothetical protein
OG0000015	GQ273492.1_00020 hypothetical protein	MG570131.1_00021 hypothetical protein
OG0000016	GQ273492.1_00022 hypothetical protein	MG570131.1_00023 hypothetical protein
OG0000017	GQ273492.1_00023 hypothetical protein	MG570131.1_00024 hypothetical protein
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00029 hypothetical protein	MG570131.1_00030 hypothetical protein
OG0000020	GQ273492.1_00030 hypothetical protein	MG570131.1_00031 hypothetical protein
OG0000021	GQ273492.1_00031 hypothetical protein	MG570131.1_00032 hypothetical protein
OG0000022	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	MG570131.1_00034 hypothetical protein
OG0000023	GQ273492.1_00036 hypothetical protein	MG570131.1_00037 hypothetical protein
OG0000024	GQ273492.1_00040 hypothetical protein	MG570131.1_00041 hypothetical protein
OG0000025	GQ273492.1_00041 hypothetical protein	MG570131.1_00042 hypothetical protein
OG0000026	GQ273492.1_00043 hypothetical protein	MG570131.1_00044 hypothetical protein
OG0000027	GQ273492.1_00044 hypothetical protein	MG570131.1_00045 hypothetical protein
OG0000028	GQ273492.1_00045 hypothetical protein	MG570131.1_00046 hypothetical protein
OG0000029	GQ273492.1_00046 hypothetical protein	MG570131.1_00047 hypothetical protein
OG0000030	GQ273492.1_00047 hypothetical protein	MG570131.1_00048 hypothetical protein
OG0000031	GQ273492.1_00048 hypothetical protein	MG570131.1_00049 hypothetical protein
OG0000032	GQ273492.1_00049 hypothetical protein	MG570131.1_00050 hypothetical protein
OG0000033	GQ273492.1_00050 hypothetical protein	MG570131.1_00051 hypothetical protein
OG0000034	GQ273492.1_00051 hypothetical protein	MG570131.1_00052 hypothetical protein
OG0000035	GQ273492.1_00052 hypothetical protein	MG570131.1_00053 hypothetical protein
OG0000036	GQ273492.1_00054 hypothetical protein	MG570131.1_00055 hypothetical protein
OG0000037	GQ273492.1_00055 hypothetical protein	MG570131.1_00056 hypothetical protein
OG0000038	GQ273492.1_00056 hypothetical protein	MG570131.1_00057 hypothetical protein
OG0000039	GQ273492.1_00057 hypothetical protein	MG570131.1_00058 hypothetical protein
OG0000040	GQ273492.1_00060 hypothetical protein	MG570131.1_00060 hypothetical protein
OG0000041	GQ273492.1_00062 hypothetical protein	MG570131.1_00062 hypothetical protein
OG0000042	GQ273492.1_00063 hypothetical protein	MG570131.1_00063 hypothetical protein
OG0000043	GQ273492.1_00064 hypothetical protein	MG570131.1_00064 hypothetical protein
OG0000044	GQ273492.1_00067 hypothetical protein	MG570131.1_00067 hypothetical protein
OG0000045	GQ273492.1_00071 hypothetical protein	MG570131.1_00071 hypothetical protein
OG0000046	GQ273492.1_00072 hypothetical protein	MG570131.1_00072 hypothetical protein
OG0000047	GQ273492.1_00074 hypothetical protein	MG570131.1_00074 hypothetical protein
OG0000048	GQ273492.1_00075 hypothetical protein	MG570131.1_00075 hypothetical protein
OG0000049	GQ273492.1_00076 hypothetical protein	MG570131.1_00076 hypothetical protein
OG0000050	GQ273492.1_00078 hypothetical protein	MG570131.1_00078 hypothetical protein
OG0000051	GQ273492.1_00079 hypothetical protein	MG570131.1_00079 hypothetical protein
OG0000052	GQ273492.1_00080 hypothetical protein	MG570131.1_00080 hypothetical protein
OG0000053	GQ273492.1_00081 hypothetical protein	MG570131.1_00081 hypothetical protein
