Orthogroup	L63545.1	MT798582.1
OG0000000	L63545.1_00007	MT798582.1_00076
OG0000001	L63545.1_00079	MT798582.1_00019
OG0000003	L63545.1_00035	MT798582.1_00018
OG0000004	L63545.1_00076	MT798582.1_00012
OG0000005	L63545.1_00108	MT798582.1_00077
OG0000006	L63545.1_00093	MT798582.1_00088
OG0000007	L63545.1_00090	MT798582.1_00116
OG0000008	L63545.1_00001	MT798582.1_00037
OG0000009	L63545.1_00024	MT798582.1_00036
OG0000010	L63545.1_00043	MT798582.1_00021
OG0000011	L63545.1_00071	MT798582.1_00004
OG0000012	L63545.1_00098	MT798582.1_00075
OG0000013	L63545.1_00072	MT798582.1_00073
OG0000014	L63545.1_00013	MT798582.1_00071
OG0000015	L63545.1_00004	MT798582.1_00049
OG0000016	L63545.1_00069	MT798582.1_00100
OG0000017	L63545.1_00009	MT798582.1_00120
OG0000018	L63545.1_00073	MT798582.1_00119
OG0000019	L63545.1_00068	MT798582.1_00042
OG0000020	L63545.1_00030	MT798582.1_00028
OG0000021	L63545.1_00110	MT798582.1_00027
OG0000022	L63545.1_00054	MT798582.1_00062
OG0000023	L63545.1_00056	MT798582.1_00111
OG0000024	L63545.1_00002	MT798582.1_00039
OG0000026	L63545.1_00058	MT798582.1_00118
OG0000027	L63545.1_00003	MT798582.1_00059
