Orthogroup	L63545.1	BD143114.1
OG0000000	L63545.1_00007	BD143114.1_00045
OG0000001	L63545.1_00079	BD143114.1_00068
OG0000003	L63545.1_00035	BD143114.1_00067
OG0000004	L63545.1_00076	BD143114.1_00060
OG0000005	L63545.1_00108	BD143114.1_00046
OG0000006	L63545.1_00093	BD143114.1_00001
OG0000007	L63545.1_00090	BD143114.1_00109
OG0000008	L63545.1_00001	BD143114.1_00087
OG0000009	L63545.1_00024	BD143114.1_00085
OG0000010	L63545.1_00043	BD143114.1_00070
OG0000011	L63545.1_00071	BD143114.1_00053
OG0000012	L63545.1_00098	BD143114.1_00044
OG0000013	L63545.1_00072	BD143114.1_00042
OG0000014	L63545.1_00013	BD143114.1_00040
OG0000015	L63545.1_00004	BD143114.1_00019
OG0000016	L63545.1_00069	BD143114.1_00013
OG0000017	L63545.1_00009	BD143114.1_00114
OG0000018	L63545.1_00073	BD143114.1_00113
OG0000019	L63545.1_00068	BD143114.1_00092
OG0000020	L63545.1_00030	BD143114.1_00077
OG0000021	L63545.1_00110	BD143114.1_00076
OG0000022	L63545.1_00054	BD143114.1_00031
OG0000023	L63545.1_00056	BD143114.1_00104
OG0000024	L63545.1_00002	BD143114.1_00089
OG0000026	L63545.1_00058	BD143114.1_00112
OG0000027	L63545.1_00003	BD143114.1_00028
