Orthogroup	L63545.1	MG570131.1
OG0000000	L63545.1_00007	MG570131.1_00031
OG0000001	L63545.1_00079	MG570131.1_00007, MG570131.1_00008
OG0000003	L63545.1_00035	MG570131.1_00009
OG0000004	L63545.1_00076	MG570131.1_00016
OG0000005	L63545.1_00108	MG570131.1_00030
OG0000006	L63545.1_00093	MG570131.1_00073
OG0000007	L63545.1_00090	MG570131.1_00087
OG0000008	L63545.1_00001	MG570131.1_00108
OG0000009	L63545.1_00024	MG570131.1_00110
OG0000010	L63545.1_00043	MG570131.1_00005
OG0000011	L63545.1_00071	MG570131.1_00023
OG0000012	L63545.1_00098	MG570131.1_00032
OG0000013	L63545.1_00072	MG570131.1_00034
OG0000014	L63545.1_00013	MG570131.1_00036
OG0000015	L63545.1_00004	MG570131.1_00057
OG0000016	L63545.1_00069	MG570131.1_00063
OG0000017	L63545.1_00009	MG570131.1_00083
OG0000018	L63545.1_00073	MG570131.1_00084
OG0000019	L63545.1_00068	MG570131.1_00103
OG0000020	L63545.1_00030	MG570131.1_00118
OG0000021	L63545.1_00110	MG570131.1_00119
OG0000022	L63545.1_00054	MG570131.1_00045
OG0000023	L63545.1_00056	MG570131.1_00092
OG0000024	L63545.1_00002	MG570131.1_00106
OG0000026	L63545.1_00058	MG570131.1_00085
OG0000027	L63545.1_00003	MG570131.1_00048
