Orthogroup	L63545.1	OP009387.1
OG0000000	L63545.1_00007	OP009387.1_00030
OG0000001	L63545.1_00079	OP009387.1_00007
OG0000003	L63545.1_00035	OP009387.1_00008
OG0000004	L63545.1_00076	OP009387.1_00015
OG0000005	L63545.1_00108	OP009387.1_00029
OG0000006	L63545.1_00093	OP009387.1_00077
OG0000007	L63545.1_00090	OP009387.1_00091
OG0000008	L63545.1_00001	OP009387.1_00112
OG0000009	L63545.1_00024	OP009387.1_00113
OG0000010	L63545.1_00043	OP009387.1_00005
OG0000011	L63545.1_00071	OP009387.1_00023
OG0000012	L63545.1_00098	OP009387.1_00031
OG0000013	L63545.1_00072	OP009387.1_00033
OG0000014	L63545.1_00013	OP009387.1_00035
OG0000015	L63545.1_00004	OP009387.1_00057
OG0000016	L63545.1_00069	OP009387.1_00064
OG0000017	L63545.1_00009	OP009387.1_00087
OG0000018	L63545.1_00073	OP009387.1_00088
OG0000019	L63545.1_00068	OP009387.1_00107
OG0000020	L63545.1_00030	OP009387.1_00121
OG0000021	L63545.1_00110	OP009387.1_00122
OG0000022	L63545.1_00054	OP009387.1_00044
OG0000023	L63545.1_00056	OP009387.1_00095
OG0000024	L63545.1_00002	OP009387.1_00110
OG0000026	L63545.1_00058	OP009387.1_00089
OG0000027	L63545.1_00003	OP009387.1_00047
