Orthogroup	PQ335173_PQ335174	MK637631
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00115 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00025 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00030 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00114 hypothetical protein
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00105 hypothetical protein
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00070 hypothetical protein
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	MK637631_00044 Major capsid protein
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00017 hypothetical protein
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00043 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00086 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00066 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00011 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00056 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00100 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00106 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00046 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00094 hypothetical protein
OG0000020	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00010 hypothetical protein
OG0000021	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00110 hypothetical protein
OG0000022	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00104 hypothetical protein
OG0000023	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein
OG0000024	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00074 hypothetical protein
OG0000025	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00006 hypothetical protein
OG0000026	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00037 hypothetical protein
OG0000027	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00101 hypothetical protein
OG0000028	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00077 hypothetical protein
OG0000029	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00084 hypothetical protein, MK637631_00085 hypothetical protein
OG0000030	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00087 hypothetical protein
OG0000031	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00001 hypothetical protein
OG0000032	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00119 hypothetical protein
OG0000033	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000034	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00033 hypothetical protein
OG0000035	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00021 hypothetical protein
OG0000036	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00020 hypothetical protein
OG0000037	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00016 hypothetical protein
OG0000038	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00042 hypothetical protein
OG0000039	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00079 hypothetical protein
OG0000040	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00080 hypothetical protein
OG0000041	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00088 hypothetical protein
OG0000042	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00095 hypothetical protein
OG0000043	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00096 hypothetical protein
OG0000044	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00097 hypothetical protein
OG0000045	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00022 hypothetical protein
OG0000046	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00039 hypothetical protein
OG0000047	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00111 hypothetical protein
OG0000048	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00118 hypothetical protein
OG0000049	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00117 hypothetical protein
OG0000050	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00103 hypothetical protein
OG0000051	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00108 hypothetical protein
OG0000052	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00012 hypothetical protein
OG0000054	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00032 hypothetical protein
OG0000056	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00055 hypothetical protein
OG0000058	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00004 hypothetical protein
OG0000063	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation	MK637631_00102 hypothetical protein
