Orthogroup	PQ335173_PQ335174	LS484712
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00114 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00095 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00187 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00248 hypothetical protein
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00130 hypothetical protein
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00096 hypothetical protein
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	LS484712.1_00142 Major capsid protein
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00200 hypothetical protein
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00188 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00143 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00203 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00192 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00050 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00053 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00202 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00135 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00240 hypothetical protein
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00040 hypothetical protein
OG0000024	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00117 hypothetical protein
OG0000065	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation	LS484712.1_00002 hypothetical protein
