Orthogroup	PQ335173_PQ335174	MF599468
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000018	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000030	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00013 MF599468.1 - hypothetical protein translation
OG0000064	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation	MF599468.1_00131 MF599468.1 - hypothetical protein translation
