Orthogroup	PQ335173_PQ335174	NC_005946
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00010 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00053 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00057 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00095 hypothetical protein
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00092 hypothetical protein
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00038 hypothetical protein
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	NC_005946.1_00091 Major capsid protein
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00060 hypothetical protein
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00083 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00022 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00011 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00094 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00002 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00023 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00016 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00021 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	NC_005946.1_00067 hypothetical protein
OG0000018	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00087 hypothetical protein
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00042 hypothetical protein
OG0000020	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00082 hypothetical protein
OG0000021	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00014 hypothetical protein
OG0000022	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00028 hypothetical protein
OG0000024	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00089 hypothetical protein
OG0000026	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00049 hypothetical protein
OG0000027	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00086 hypothetical protein
OG0000028	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	NC_005946.1_00085 hypothetical protein
