Orthogroup	PQ335173_PQ335174	MN803438
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00124 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00101 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00113 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00106 hypothetical protein
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00109 hypothetical protein
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00089 hypothetical protein
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	MN803438.1_00023 Major capsid protein
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00128 hypothetical protein
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00068 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	MN803438.1_00013 hypothetical protein
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00007 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00049 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00097 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00027 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00051 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00070 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00046 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	MN803438.1_00024 hypothetical protein
OG0000018	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00035 hypothetical protein
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00142 hypothetical protein
OG0000020	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00122 hypothetical protein
OG0000021	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00071 hypothetical protein
OG0000022	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00104 hypothetical protein
OG0000023	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00145 hypothetical protein
OG0000024	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00077 hypothetical protein
OG0000026	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00037 hypothetical protein
OG0000027	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00126 hypothetical protein
OG0000028	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	MN803438.1_00054 hypothetical protein
