Orthogroup	OQ475017.1	ON740976.1
OG0000000	OQ475017.1_00030	ON740976.1_00030
OG0000001	OQ475017.1_00007	ON740976.1_00007
OG0000002	OQ475017.1_00074	ON740976.1_00076
OG0000003	OQ475017.1_00008	ON740976.1_00008
OG0000004	OQ475017.1_00015	ON740976.1_00014
OG0000005	OQ475017.1_00029	ON740976.1_00029
OG0000006	OQ475017.1_00073	ON740976.1_00075
OG0000007	OQ475017.1_00087	ON740976.1_00089
OG0000008	OQ475017.1_00110	ON740976.1_00111
OG0000009	OQ475017.1_00112	ON740976.1_00113
OG0000010	OQ475017.1_00005	ON740976.1_00005
OG0000011	OQ475017.1_00022	ON740976.1_00021
OG0000012	OQ475017.1_00031	ON740976.1_00031
OG0000013	OQ475017.1_00033	ON740976.1_00033
OG0000014	OQ475017.1_00035	ON740976.1_00035
OG0000015	OQ475017.1_00056	ON740976.1_00057
OG0000016	OQ475017.1_00062	ON740976.1_00063
OG0000017	OQ475017.1_00083	ON740976.1_00085
OG0000018	OQ475017.1_00084	ON740976.1_00086
OG0000019	OQ475017.1_00105	ON740976.1_00106
OG0000020	OQ475017.1_00120	ON740976.1_00121
OG0000021	OQ475017.1_00121	ON740976.1_00122
OG0000022	OQ475017.1_00044	ON740976.1_00044
OG0000023	OQ475017.1_00093	ON740976.1_00094
OG0000024	OQ475017.1_00108	ON740976.1_00109
OG0000025	OQ475017.1_00063	ON740976.1_00064
OG0000026	OQ475017.1_00085	ON740976.1_00087
OG0000027	OQ475017.1_00047	ON740976.1_00047
OG0000028	OQ475017.1_00006	ON740976.1_00006
OG0000029	OQ475017.1_00060	ON740976.1_00061
OG0000030	OQ475017.1_00001	ON740976.1_00001
OG0000031	OQ475017.1_00078	ON740976.1_00080
OG0000032	OQ475017.1_00086	ON740976.1_00088
OG0000033	OQ475017.1_00122	ON740976.1_00123
OG0000034	OQ475017.1_00013	ON740976.1_00012
OG0000035	OQ475017.1_00014	ON740976.1_00013
OG0000036	OQ475017.1_00019	ON740976.1_00018
OG0000037	OQ475017.1_00020	ON740976.1_00019
OG0000038	OQ475017.1_00023	ON740976.1_00022
OG0000039	OQ475017.1_00024	ON740976.1_00023
OG0000040	OQ475017.1_00032	ON740976.1_00032
OG0000041	OQ475017.1_00036	ON740976.1_00036
OG0000042	OQ475017.1_00048	ON740976.1_00049
OG0000043	OQ475017.1_00049	ON740976.1_00050
OG0000044	OQ475017.1_00054	ON740976.1_00055
OG0000045	OQ475017.1_00055	ON740976.1_00056
OG0000046	OQ475017.1_00057	ON740976.1_00058
OG0000047	OQ475017.1_00058	ON740976.1_00059
OG0000048	OQ475017.1_00059	ON740976.1_00060
OG0000049	OQ475017.1_00075	ON740976.1_00077
OG0000050	OQ475017.1_00079	ON740976.1_00081
OG0000051	OQ475017.1_00080	ON740976.1_00082
OG0000052	OQ475017.1_00092	ON740976.1_00093
OG0000053	OQ475017.1_00094	ON740976.1_00095
OG0000054	OQ475017.1_00097	ON740976.1_00098
OG0000055	OQ475017.1_00109	ON740976.1_00110
OG0000056	OQ475017.1_00114	ON740976.1_00115
OG0000057	OQ475017.1_00116	ON740976.1_00117
OG0000058	OQ475017.1_00002	ON740976.1_00002
OG0000059	OQ475017.1_00010	ON740976.1_00010
OG0000060	OQ475017.1_00018	ON740976.1_00017
OG0000061	OQ475017.1_00088	ON740976.1_00090
OG0000062	OQ475017.1_00027	ON740976.1_00026
OG0000063	OQ475017.1_00070	ON740976.1_00072
