Orthogroup	OQ475017.1	AY521625.1
OG0000000	OQ475017.1_00030	AY521625.1_00091
OG0000001	OQ475017.1_00007	AY521625.1_00064
OG0000003	OQ475017.1_00008	AY521625.1_00077
OG0000004	OQ475017.1_00015	AY521625.1_00130
OG0000005	OQ475017.1_00029	AY521625.1_00085
OG0000006	OQ475017.1_00073	AY521625.1_00051
OG0000007	OQ475017.1_00087	AY521625.1_00016
OG0000008	OQ475017.1_00110	AY521625.1_00069, AY521625.1_00070
OG0000009	OQ475017.1_00112	AY521625.1_00142
OG0000010	OQ475017.1_00005	AY521625.1_00054
OG0000011	OQ475017.1_00022	AY521625.1_00110
OG0000012	OQ475017.1_00031	AY521625.1_00074
OG0000013	OQ475017.1_00033	AY521625.1_00059
OG0000014	OQ475017.1_00035	AY521625.1_00065
OG0000015	OQ475017.1_00056	AY521625.1_00048
OG0000016	OQ475017.1_00062	AY521625.1_00053
OG0000017	OQ475017.1_00083	AY521625.1_00086
OG0000018	OQ475017.1_00084	AY521625.1_00073
OG0000019	OQ475017.1_00105	AY521625.1_00047
OG0000020	OQ475017.1_00120	AY521625.1_00115
OG0000021	OQ475017.1_00121	AY521625.1_00035
OG0000022	OQ475017.1_00044	AY521625.1_00062
OG0000023	OQ475017.1_00093	AY521625.1_00100
OG0000024	OQ475017.1_00108	AY521625.1_00060
OG0000026	OQ475017.1_00085	AY521625.1_00022
OG0000030	OQ475017.1_00001	AY521625.1_00004
