Orthogroup	OQ475017.1	AY894343.1
OG0000000	OQ475017.1_00030	AY894343.1_00029
OG0000001	OQ475017.1_00007	AY894343.1_00007
OG0000002	OQ475017.1_00074	AY894343.1_00077
OG0000003	OQ475017.1_00008	AY894343.1_00008
OG0000004	OQ475017.1_00015	AY894343.1_00015
OG0000005	OQ475017.1_00029	AY894343.1_00028
OG0000006	OQ475017.1_00073	AY894343.1_00076
OG0000007	OQ475017.1_00087	AY894343.1_00090
OG0000008	OQ475017.1_00110	AY894343.1_00113
OG0000009	OQ475017.1_00112	AY894343.1_00115
OG0000010	OQ475017.1_00005	AY894343.1_00005
OG0000011	OQ475017.1_00022	AY894343.1_00021
OG0000012	OQ475017.1_00031	AY894343.1_00030
OG0000013	OQ475017.1_00033	AY894343.1_00032
OG0000014	OQ475017.1_00035	AY894343.1_00034
OG0000015	OQ475017.1_00056	AY894343.1_00056
OG0000016	OQ475017.1_00062	AY894343.1_00063
OG0000017	OQ475017.1_00083	AY894343.1_00086
OG0000018	OQ475017.1_00084	AY894343.1_00087
OG0000019	OQ475017.1_00105	AY894343.1_00108
OG0000020	OQ475017.1_00120	AY894343.1_00123
OG0000021	OQ475017.1_00121	AY894343.1_00124
OG0000022	OQ475017.1_00044	AY894343.1_00043
OG0000023	OQ475017.1_00093	AY894343.1_00096
OG0000024	OQ475017.1_00108	AY894343.1_00111
OG0000025	OQ475017.1_00063	AY894343.1_00064
OG0000026	OQ475017.1_00085	AY894343.1_00088
OG0000027	OQ475017.1_00047	AY894343.1_00046
OG0000028	OQ475017.1_00006	AY894343.1_00006
OG0000029	OQ475017.1_00060	AY894343.1_00061
OG0000030	OQ475017.1_00001	AY894343.1_00001
OG0000031	OQ475017.1_00078	AY894343.1_00081
OG0000032	OQ475017.1_00086	AY894343.1_00089
OG0000033	OQ475017.1_00122	AY894343.1_00125
OG0000034	OQ475017.1_00013	AY894343.1_00013
OG0000035	OQ475017.1_00014	AY894343.1_00014
OG0000036	OQ475017.1_00019	AY894343.1_00019
OG0000037	OQ475017.1_00020	AY894343.1_00020
OG0000038	OQ475017.1_00023	AY894343.1_00022
OG0000039	OQ475017.1_00024	AY894343.1_00023
OG0000040	OQ475017.1_00032	AY894343.1_00031
OG0000041	OQ475017.1_00036	AY894343.1_00035
OG0000042	OQ475017.1_00048	AY894343.1_00048
OG0000043	OQ475017.1_00049	AY894343.1_00049
OG0000044	OQ475017.1_00054	AY894343.1_00054
OG0000045	OQ475017.1_00055	AY894343.1_00055
OG0000046	OQ475017.1_00057	AY894343.1_00057
OG0000047	OQ475017.1_00058	AY894343.1_00058
OG0000048	OQ475017.1_00059	AY894343.1_00059
OG0000049	OQ475017.1_00075	AY894343.1_00078
OG0000050	OQ475017.1_00079	AY894343.1_00082
OG0000051	OQ475017.1_00080	AY894343.1_00083
OG0000052	OQ475017.1_00092	AY894343.1_00095
OG0000053	OQ475017.1_00094	AY894343.1_00097
OG0000054	OQ475017.1_00097	AY894343.1_00100
OG0000055	OQ475017.1_00109	AY894343.1_00112
OG0000056	OQ475017.1_00114	AY894343.1_00117
OG0000057	OQ475017.1_00116	AY894343.1_00119
OG0000058	OQ475017.1_00002	AY894343.1_00002
OG0000059	OQ475017.1_00010	AY894343.1_00010
OG0000060	OQ475017.1_00018	AY894343.1_00018
OG0000061	OQ475017.1_00088	AY894343.1_00091
OG0000062	OQ475017.1_00027	AY894343.1_00025
OG0000063	OQ475017.1_00070	AY894343.1_00072
OG0000064	OQ475017.1_00017	AY894343.1_00017
