Orthogroup	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	KX643370	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
OG0000000	AF303741.1_00047, AF303741.1_00200	AF371960.1_00008	AY521625.1_00077	AY532606.1_00007	AY779031.1_00008	AY894343.1_00008	BD143114.1_00067	GQ273492.1_00008	HF920633.1_00069	HF920637.1_00059	KC244182.1_00008	KF938901.1_00080	KT804738.1_00008	Lymph_LDV3_KX643370_00098, Lymph_LDV3_KX643370_00103	LS484712.1_00095	MF599468.1_00163	MG570131.1_00009	MG570132.1_00009	MK098185.1_00008	MK098186.1_00008	MK098187.1_00008	MK689685.1_00008	MK689686.1_00008	MN432490.1_00008	MN562489.1_00081	MN803438.1_00056, MN803438.1_00101	MT521409.1_00082	MT798582.1_00018	MT926123.1_00008	MT986830.1_00008	MW139932.1_00008	NC_005946.1_00053	NC_027778.1_00062	OK042108.1_00068	OK042109.1_00068	OL774653.1_00026	OL774654.1_00008	OL774655.1_00008	OM037668.1_00056	ON075463.1_00008	ON740976.1_00008	ON743042.1_00008	OP009387.1_00008	OQ475017.1_00008
OG0000001	AF303741.1_00079, AF303741.1_00152	AF371960.1_00031	AY521625.1_00091	AY532606.1_00030	AY779031.1_00034	AY894343.1_00029	BD143114.1_00045	GQ273492.1_00030	HF920633.1_00044	HF920637.1_00129, HF920637.1_00164	KC244182.1_00029	KF938901.1_00126	KT804738.1_00029	Lymph_LDV3_KX643370_00131	LS484712.1_00114	MF599468.1_00056, MF599468.1_00057	MG570131.1_00031	MG570132.1_00031	MK098185.1_00033	MK098186.1_00030	MK098187.1_00033	MK689685.1_00029	MK689686.1_00029	MN432490.1_00032	MN562489.1_00102	MN803438.1_00124	MT521409.1_00103	MT798582.1_00076	MT926123.1_00032	MT986830.1_00033	MW139932.1_00033	NC_005946.1_00010	NC_027778.1_00083	OK042108.1_00047	OK042109.1_00047	OL774653.1_00051	OL774654.1_00031	OL774655.1_00034	OM037668.1_00035	ON075463.1_00029	ON740976.1_00030	ON743042.1_00031	OP009387.1_00030	OQ475017.1_00030
OG0000002	AF303741.1_00125	AF371960.1_00007	AY521625.1_00064	AY532606.1_00006	AY779031.1_00007	AY894343.1_00007	BD143114.1_00068	GQ273492.1_00007	HF920633.1_00073	HF920637.1_00143	KC244182.1_00007	KF938901.1_00044	KT804738.1_00007	Lymph_LDV3_KX643370_00051	LS484712.1_00142	MF599468.1_00152	MG570131.1_00007, MG570131.1_00008	MG570132.1_00007, MG570132.1_00008	MK098185.1_00007	MK098186.1_00007	MK098187.1_00007	MK689685.1_00007	MK689686.1_00007	MN432490.1_00007	MN562489.1_00080	MN803438.1_00023	MT521409.1_00081	MT798582.1_00019	MT926123.1_00007	MT986830.1_00007	MW139932.1_00007	NC_005946.1_00091	NC_027778.1_00061	OK042108.1_00069	OK042109.1_00069	OL774653.1_00025	OL774654.1_00007	OL774655.1_00007	OM037668.1_00057	ON075463.1_00007	ON740976.1_00007	ON743042.1_00007	OP009387.1_00007	OQ475017.1_00007
OG0000003	AF303741.1_00176	AF371960.1_00113	AY521625.1_00142	AY532606.1_00119, AY532606.1_00120	AY779031.1_00122	AY894343.1_00115	BD143114.1_00085	GQ273492.1_00110	HF920633.1_00122	HF920637.1_00015, HF920637.1_00153	KC244182.1_00114	KF938901.1_00114	KT804738.1_00111	Lymph_LDV3_KX643370_00107	LS484712.1_00130	MF599468.1_00075	MG570131.1_00110	MG570132.1_00110	MK098185.1_00114	MK098186.1_00111	MK098187.1_00114	MK689685.1_00111	MK689686.1_00112	MN432490.1_00114	MN562489.1_00059	MN803438.1_00109	MT521409.1_00060	MT798582.1_00036	MT926123.1_00113	MT986830.1_00117	MW139932.1_00115	NC_005946.1_00092	NC_027778.1_00039	OK042108.1_00085	OK042109.1_00086	OL774653.1_00008	OL774654.1_00113	OL774655.1_00115	OM037668.1_00077	ON075463.1_00111	ON740976.1_00113	ON743042.1_00115	OP009387.1_00113	OQ475017.1_00112
OG0000004	AF303741.1_00035	AF371960.1_00015	AY521625.1_00130	AY532606.1_00014	AY779031.1_00015, AY779031.1_00016	AY894343.1_00015	BD143114.1_00060	GQ273492.1_00015	HF920633.1_00127	HF920637.1_00159	KC244182.1_00014	KF938901.1_00005	KT804738.1_00015	Lymph_LDV3_KX643370_00120	LS484712.1_00187	MF599468.1_00011	MG570131.1_00016	MG570132.1_00016	MK098185.1_00015	MK098186.1_00015	MK098187.1_00015	MK689685.1_00015	MK689686.1_00014	MN432490.1_00015	MN562489.1_00087	MN803438.1_00113	MT521409.1_00088	MT798582.1_00012	MT926123.1_00015	MT986830.1_00015	MW139932.1_00015	NC_005946.1_00057	NC_027778.1_00068	OK042108.1_00062	OK042109.1_00061	OL774653.1_00032	OL774654.1_00015	OL774655.1_00015	OM037668.1_00050	ON075463.1_00014	ON740976.1_00014	ON743042.1_00015	OP009387.1_00015	OQ475017.1_00015
OG0000005	AF303741.1_00080	AF371960.1_00112	AY521625.1_00069, AY521625.1_00070	AY532606.1_00116, AY532606.1_00117	AY779031.1_00121	AY894343.1_00113	BD143114.1_00087	GQ273492.1_00108	HF920633.1_00079	HF920637.1_00025	KC244182.1_00112	KF938901.1_00043	KT804738.1_00109	Lymph_LDV3_KX643370_00135		MF599468.1_00092	MG570131.1_00108	MG570132.1_00108	MK098185.1_00112	MK098186.1_00109	MK098187.1_00112	MK689685.1_00110	MK689686.1_00110	MN432490.1_00113	MN562489.1_00060	MN803438.1_00104	MT521409.1_00061	MT798582.1_00037	MT926123.1_00112	MT986830.1_00116	MW139932.1_00113	NC_005946.1_00028	NC_027778.1_00040	OK042108.1_00087	OK042109.1_00088	OL774653.1_00006	OL774654.1_00111	OL774655.1_00113	OM037668.1_00076	ON075463.1_00109	ON740976.1_00111	ON743042.1_00113	OP009387.1_00112	OQ475017.1_00110
OG0000006	AF303741.1_00129	AF371960.1_00096	AY521625.1_00100	AY532606.1_00098, AY532606.1_00099	AY779031.1_00103	AY894343.1_00096	BD143114.1_00104	GQ273492.1_00092	HF920633.1_00085	HF920637.1_00221	KC244182.1_00095	KF938901.1_00125	KT804738.1_00092	Lymph_LDV3_KX643370_00055	LS484712.1_00256	MF599468.1_00154	MG570131.1_00092	MG570132.1_00092	MK098185.1_00095	MK098186.1_00092	MK098187.1_00095	MK689685.1_00094	MK689686.1_00093	MN432490.1_00097	MN562489.1_00056	MN803438.1_00071	MT521409.1_00057	MT798582.1_00111	MT926123.1_00096	MT986830.1_00100	MW139932.1_00096	NC_005946.1_00014	NC_027778.1_00036	OK042108.1_00104	OK042109.1_00105	OL774653.1_00114	OL774654.1_00094	OL774655.1_00096	OM037668.1_00080	ON075463.1_00092	ON740976.1_00094	ON743042.1_00096	OP009387.1_00095	OQ475017.1_00093
OG0000007	AF303741.1_00132	AF371960.1_00078	AY521625.1_00051	AY532606.1_00078	AY779031.1_00083, AY779031.1_00084	AY894343.1_00076	BD143114.1_00001	GQ273492.1_00073	HF920633.1_00025	HF920637.1_00121	KC244182.1_00076	KF938901.1_00072	KT804738.1_00072	Lymph_LDV3_KX643370_00004	LS484712.1_00040	MF599468.1_00010	MG570131.1_00073	MG570132.1_00073	MK098185.1_00076	MK098186.1_00073	MK098187.1_00076	MK689685.1_00075	MK689686.1_00074	MN432490.1_00078	MN562489.1_00116	MN803438.1_00142	MT521409.1_00117	MT798582.1_00088	MT926123.1_00079	MT986830.1_00080	MW139932.1_00077	NC_005946.1_00042	NC_027778.1_00098	OK042108.1_00001	OK042109.1_00001	OL774653.1_00094	OL774654.1_00075	OL774655.1_00078	OM037668.1_00021	ON075463.1_00073	ON740976.1_00075	ON743042.1_00077	OP009387.1_00077	OQ475017.1_00073
OG0000008	AF303741.1_00149	AF371960.1_00092	AY521625.1_00016	AY532606.1_00093	AY779031.1_00098	AY894343.1_00090	BD143114.1_00109	GQ273492.1_00087	HF920633.1_00091	HF920637.1_00172	KC244182.1_00090	KF938901.1_00053	KT804738.1_00086	Lymph_LDV3_KX643370_00061	LS484712.1_00050, LS484712.1_00234	MF599468.1_00174	MG570131.1_00087	MG570132.1_00087	MK098185.1_00090	MK098186.1_00087	MK098187.1_00090	MK689685.1_00089	MK689686.1_00088	MN432490.1_00092	MN562489.1_00052	MN803438.1_00027	MT521409.1_00053	MT798582.1_00116	MT926123.1_00093	MT986830.1_00094	MW139932.1_00091	NC_005946.1_00002	NC_027778.1_00032	OK042108.1_00109	OK042109.1_00110	OL774653.1_00108	OL774654.1_00089	OL774655.1_00091	OM037668.1_00084	ON075463.1_00087	ON740976.1_00089	ON743042.1_00091	OP009387.1_00091	OQ475017.1_00087
OG0000009	AF303741.1_00165	AF371960.1_00030	AY521625.1_00085	AY532606.1_00029	AY779031.1_00033	AY894343.1_00028	BD143114.1_00046	GQ273492.1_00029	HF920633.1_00043	HF920637.1_00175, HF920637.1_00176	KC244182.1_00028	KF938901.1_00067	KT804738.1_00028	Lymph_LDV3_KX643370_00137	LS484712.1_00248	MF599468.1_00030	MG570131.1_00030	MG570132.1_00030	MK098185.1_00032	MK098186.1_00029	MK098187.1_00032	MK689685.1_00028	MK689686.1_00028	MN432490.1_00031	MN562489.1_00099	MN803438.1_00106	MT521409.1_00100	MT798582.1_00077	MT926123.1_00031	MT986830.1_00032	MW139932.1_00032	NC_005946.1_00095	NC_027778.1_00080	OK042108.1_00048	OK042109.1_00048	OL774653.1_00050	OL774654.1_00030	OL774655.1_00033	OM037668.1_00038	ON075463.1_00028	ON740976.1_00029	ON743042.1_00030	OP009387.1_00029	OQ475017.1_00029
