Orthogroup	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
OG0000000	DNA_polymerase_1 AF303741.1_00079, DNA_polymerase_2 AF303741.1_00152	hypothetical protein AF371960.1_00031	AY521625.1 - hypothetical protein translation AY521625.1_00091	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein GQ273492.1_00030	hypothetical protein HF920633.1_00044	HF920637.1 - DNA-directed RNA polymerase subunit 1 translation HF920637.1_00164, HF920637.1 - hypothetical protein translation HF920637.1_00129	hypothetical protein MK689686.1_00029	DNA-directed RNA polymerase subunit 1 KF938901.1_00126	hypothetical protein MK689686.1_00029	hypothetical protein Lymph_LDV3_KX643370_00131	hypothetical protein LS484712.1_00114	MF599468.1 - 56R gene translation MF599468.1 _56R gene translation, MF599468.1 - 57R gene translation MF599468.1_57R gene translation	hypothetical protein MG570131.1_00031	hypothetical protein MG570132.1_00031	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein AF371960.1_00031	hypothetical protein MK689686.1_00029	hypothetical protein AF371960.1_00031	hypothetical protein OM037668.1_00035	hypothetical protein MN803438.1_00124	hypothetical protein OM037668.1_00035	hypothetical protein MK689686.1_00029	hypothetical protein AF371960.1_00031	hypothetical protein AF371960.1_00031	hypothetical protein MK689686.1_00029	hypothetical protein NC_005946.1_00010	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein OM037668.1_00035	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein MK689686.1_00029	hypothetical protein AF371960.1_00031	OQ475017.1 - hypothetical protein translation OQ475017.1_00030
OG0000001	hypothetical protein AF303741.1_00035	hypothetical protein AF371960.1_00015	AY521625.1 - hypothetical protein translation AY521625.1_00130	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein GQ273492.1_00015	hypothetical protein HF920633.1_00127	HF920637.1 - hypothetical protein translation HF920637.1_00159	hypothetical protein MK689686.1_00014	hypothetical protein KF938901.1_00005	hypothetical protein MK689686.1_00014	hypothetical protein Lymph_LDV3_KX643370_00120	hypothetical protein LS484712.1_00187	MF599468.1 - hypothetical protein translation MF599468.1_00011	hypothetical protein MG570131.1_00016	hypothetical protein MG570132.1_00016	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein AF371960.1_00015	hypothetical protein MK689686.1_00014	hypothetical protein AF371960.1_00015	RING E3 ubiquitin ligase SDDV_ORF050, hypothetical protein OM037668.1_00050	hypothetical protein MN803438.1_00113	hypothetical protein OM037668.1_00050	hypothetical protein MK689686.1_00014	hypothetical protein AF371960.1_00015	hypothetical protein AF371960.1_00015	hypothetical protein MK689686.1_00014	hypothetical protein NC_005946.1_00057	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein OM037668.1_00050	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein MK689686.1_00014	hypothetical protein AF371960.1_00015	OQ475017.1 - hypothetical protein translation OQ475017.1_00015
OG0000002	hypothetical protein AF303741.1_00047	hypothetical protein AF371960.1_00008	AY521625.1 - hypothetical protein translation AY521625.1_00077	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein GQ273492.1_00008	hypothetical protein HF920633.1_00069	HF920637.1 - hypothetical protein translation HF920637.1_00059	hypothetical protein MK689686.1_00008	hypothetical protein KF938901.1_00080	hypothetical protein MK689686.1_00008	hypothetical protein Lymph_LDV3_KX643370_00098, hypothetical protein Lymph_LDV3_KX643370_00103	hypothetical protein LS484712.1_00095	MF599468.1 - hypothetical protein translation MF599468.1_00163	hypothetical protein MG570131.1_00009	hypothetical protein MG570132.1_00009	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein AF371960.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein AF371960.1_00008	hypothetical protein OM037668.1_00056	hypothetical protein MN803438.1_00101	hypothetical protein OM037668.1_00056	hypothetical protein MK689686.1_00008	hypothetical protein AF371960.1_00008	hypothetical protein AF371960.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein NC_005946.1_00053	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein OM037668.1_00056	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein MK689686.1_00008	hypothetical protein AF371960.1_00008	OQ475017.1 - hypothetical protein translation OQ475017.1_00008
OG0000003	hypothetical protein AF303741.1_00165	hypothetical protein AF371960.1_00030	AY521625.1 - hypothetical protein translation AY521625.1_00085	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein GQ273492.1_00029	hypothetical protein HF920633.1_00043	HF920637.1 - hypothetical protein translation HF920637.1 00176, HF920637.1 - hypothetical protein translation HF920637.1_00175	hypothetical protein MK689686.1_00028	hypothetical protein KF938901.1_00067	hypothetical protein MK689686.1_00028	hypothetical protein Lymph_LDV3_KX643370_00137	hypothetical protein LS484712.1_00248	MF599468.1 - hypothetical protein translation MF599468.1_00030	hypothetical protein MG570131.1_00030	hypothetical protein MG570132.1_00030	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein AF371960.1_00030	hypothetical protein MK689686.1_00028	hypothetical protein AF371960.1_00030	Flap endonuclease SDDV_ORF038	hypothetical protein MN803438.1_00106	Flap endonuclease SDDV_ORF038	hypothetical protein MK689686.1_00028	hypothetical protein AF371960.1_00030	hypothetical protein AF371960.1_00030	hypothetical protein MK689686.1_00028	hypothetical protein NC_005946.1_00095	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	Flap endonuclease SDDV_ORF038	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein MK689686.1_00028	hypothetical protein AF371960.1_00030	OQ475017.1 - hypothetical protein translation OQ475017.1_00029
OG0000004	hypothetical protein AF303741.1_00176	hypothetical protein AF371960.1_00113	AY521625.1 - hypothetical protein translation AY521625.1_00142	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein GQ273492.1_00110	hypothetical protein HF920633.1_00122	HF920637.1 - hypothetical protein translation HF920637.1_00015, HF920637.1 - hypothetical protein translation HF920637.1_00153	hypothetical protein MK689686.1_00112	hypothetical protein KF938901.1_00114	hypothetical protein MK689686.1_00112	hypothetical protein Lymph_LDV3_KX643370_00107	hypothetical protein LS484712.1_00130	MF599468.1 - hypothetical protein translation MF599468.1_00075	hypothetical protein MG570131.1_00110	hypothetical protein MG570132.1_00110	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein AF371960.1_00113	hypothetical protein MK689686.1_00112	hypothetical protein AF371960.1_00113	hypothetical protein OM037668.1_00077	hypothetical protein MN803438.1_00109	hypothetical protein OM037668.1_00077	hypothetical protein MK689686.1_00112	hypothetical protein AF371960.1_00113	hypothetical protein AF371960.1_00113	hypothetical protein MK689686.1_00112	hypothetical protein NC_005946.1_00092	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein OM037668.1_00077	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein MK689686.1_00112	hypothetical protein AF371960.1_00113	OQ475017.1 - hypothetical protein translation OQ475017.1_00112
OG0000005	hypothetical protein AF303741.1_00006	hypothetical protein AF371960.1_00064	AY521625.1 - hypothetical protein translation AY521625.1_00053	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein GQ273492.1_00063	hypothetical protein HF920633.1_00118	HF920637.1 - hypothetical protein translation HF920637.1_00217	hypothetical protein MK689686.1_00062	hypothetical protein KF938901.1_00092	hypothetical protein MK689686.1_00062	hypothetical protein Lymph_LDV3_KX643370_00094	hypothetical protein LS484712.1_00203	MF599468.1 - hypothetical protein translation MF599468.1_00149	hypothetical protein MG570131.1_00063	hypothetical protein MG570132.1_00063	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein AF371960.1_00064	hypothetical protein MK689686.1_00062	hypothetical protein AF371960.1_00064	hypothetical protein OM037668.1_00009	hypothetical protein MN803438.1_00049	hypothetical protein OM037668.1_00009	hypothetical protein MK689686.1_00062	hypothetical protein AF371960.1_00064	hypothetical protein AF371960.1_00064	hypothetical protein MK689686.1_00062	hypothetical protein NC_005946.1_00011	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein OM037668.1_00009	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein MK689686.1_00062	hypothetical protein AF371960.1_00064	OQ475017.1 - hypothetical protein translation OQ475017.1_00062
OG0000006	hypothetical protein AF303741.1_00011	hypothetical protein AF371960.1_00021	AY521625.1 - hypothetical protein translation AY521625.1_00110	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein GQ273492.1_00022	hypothetical protein HF920633.1_00001	HF920637.1 - hypothetical protein translation HF920637.1_00001	hypothetical protein MK689686.1_00021	hypothetical protein KF938901.1_00054	hypothetical protein MK689686.1_00021	hypothetical protein Lymph_LDV3_KX643370_00117	hypothetical protein LS484712.1_00200	MF599468.1 - hypothetical protein translation MF599468.1_00112	hypothetical protein MG570131.1_00023	hypothetical protein MG570132.1_00023	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein AF371960.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein AF371960.1_00021	hypothetical protein OM037668.1_00041	hypothetical protein MN803438.1_00128	hypothetical protein OM037668.1_00041	hypothetical protein MK689686.1_00021	hypothetical protein AF371960.1_00021	hypothetical protein AF371960.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein NC_005946.1_00060	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein OM037668.1_00041	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein MK689686.1_00021	hypothetical protein AF371960.1_00021	OQ475017.1 - hypothetical protein translation OQ475017.1_00022
OG0000007	hypothetical protein AF303741.1_00023	hypothetical protein AF371960.1_00057	AY521625.1 - hypothetical protein translation AY521625.1_00048	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein GQ273492.1_00056	hypothetical protein HF920633.1_00067	HF920637.1 - hypothetical protein translation HF920637.1_00017	hypothetical protein MK689686.1_00056	hypothetical protein KF938901.1_00060	hypothetical protein MK689686.1_00056	hypothetical protein Lymph_LDV3_KX643370_00044	hypothetical protein LS484712.1_00143	MF599468.1 - hypothetical protein translation MF599468.1_00033	hypothetical protein MG570131.1_00057	hypothetical protein MG570132.1_00057	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein AF371960.1_00057	hypothetical protein MK689686.1_00056	hypothetical protein AF371960.1_00057	hypothetical protein OM037668.1_00098	hypothetical protein MN803438.1_00007	hypothetical protein OM037668.1_00098	hypothetical protein MK689686.1_00056	hypothetical protein AF371960.1_00057	hypothetical protein AF371960.1_00057	hypothetical protein MK689686.1_00056	hypothetical protein NC_005946.1_00022	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein OM037668.1_00098	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein MK689686.1_00056	hypothetical protein AF371960.1_00057	OQ475017.1 - hypothetical protein translation OQ475017.1_00056
OG0000008	hypothetical protein AF303741.1_00026	hypothetical protein AF371960.1_00121	AY521625.1 - hypothetical protein translation AY521625.1_00115	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein GQ273492.1_00118	hypothetical protein HF920633.1_00138	HF920637.1 - hypothetical protein translation HF920637.1_00108	hypothetical protein MK689686.1_00120	hypothetical protein KF938901.1_00074	hypothetical protein MK689686.1_00120	hypothetical protein Lymph_LDV3_KX643370_00056	hypothetical protein LS484712.1_00202	MF599468.1 - hypothetical protein translation MF599468.1_00122	hypothetical protein MG570131.1_00118	hypothetical protein MG570132.1_00118	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein AF371960.1_00121	hypothetical protein MK689686.1_00120	hypothetical protein AF371960.1_00121	hypothetical protein OM037668.1_00078	hypothetical protein MN803438.1_00070	hypothetical protein OM037668.1_00078	hypothetical protein MK689686.1_00120	hypothetical protein AF371960.1_00121	hypothetical protein AF371960.1_00121	hypothetical protein MK689686.1_00120	hypothetical protein NC_005946.1_00016	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein OM037668.1_00078	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein MK689686.1_00120	hypothetical protein AF371960.1_00121	OQ475017.1 - hypothetical protein translation OQ475017.1_00120
OG0000009	hypothetical protein AF303741.1_00046	hypothetical protein AF371960.1_00122	AY521625.1 - hypothetical protein translation AY521625.1_00035	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein GQ273492.1_00119	hypothetical protein HF920633.1_00058	HF920637.1 - hypothetical protein translation HF920637.1_00152	hypothetical protein MK689686.1_00121	hypothetical protein KF938901.1_00095	hypothetical protein MK689686.1_00121	hypothetical protein Lymph_LDV3_KX643370_00091	hypothetical protein LS484712.1_00135	MF599468.1 - hypothetical protein translation MF599468.1_00009	hypothetical protein MG570131.1_00119	hypothetical protein MG570132.1_00119	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein AF371960.1_00122	hypothetical protein MK689686.1_00121	hypothetical protein AF371960.1_00122	hypothetical protein OM037668.1_00004	hypothetical protein MN803438.1_00046	hypothetical protein OM037668.1_00004	hypothetical protein MK689686.1_00121	hypothetical protein AF371960.1_00122	hypothetical protein AF371960.1_00122	hypothetical protein MK689686.1_00121	hypothetical protein NC_005946.1_00021	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein OM037668.1_00004	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein MK689686.1_00121	hypothetical protein AF371960.1_00122	OQ475017.1 - hypothetical protein translation OQ475017.1_00121
