Orthogroup	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000473		AF371960.1_00028 hypothetical protein																																																																						
OG0000474				AF303741.1_00013 hypothetical protein																																																																				
OG0000475				AF303741.1_00019 hypothetical protein																																																																				
OG0000476				AF303741.1_00021 hypothetical protein																																																																				
OG0000477				AF303741.1_00022 hypothetical protein																																																																				
OG0000478				AF303741.1_00029 hypothetical protein																																																																				
OG0000479				AF303741.1_00030 hypothetical protein																																																																				
OG0000480				AF303741.1_00032 hypothetical protein																																																																				
OG0000481				AF303741.1_00033 hypothetical protein																																																																				
OG0000482				AF303741.1_00036 hypothetical protein																																																																				
OG0000483				AF303741.1_00037 hypothetical protein																																																																				
OG0000484				AF303741.1_00038 hypothetical protein																																																																				
OG0000485				AF303741.1_00039 hypothetical protein																																																																				
OG0000486				AF303741.1_00041 hypothetical protein																																																																				
OG0000487				AF303741.1_00054 hypothetical protein																																																																				
OG0000488				AF303741.1_00057 hypothetical protein																																																																				
OG0000489				AF303741.1_00058 hypothetical protein																																																																				
OG0000490				AF303741.1_00059 hypothetical protein																																																																				
OG0000491				AF303741.1_00071 hypothetical protein																																																																				
OG0000492				AF303741.1_00073 hypothetical protein																																																																				
OG0000493				AF303741.1_00075 hypothetical protein																																																																				
OG0000494				AF303741.1_00082 hypothetical protein																																																																				
OG0000495				AF303741.1_00084 hypothetical protein																																																																				
OG0000496				AF303741.1_00103 hypothetical protein																																																																				
OG0000497				AF303741.1_00108 hypothetical protein																																																																				
OG0000498				AF303741.1_00110 hypothetical protein																																																																				
OG0000499				AF303741.1_00114 hypothetical protein																																																																				
OG0000500				AF303741.1_00123 hypothetical protein																																																																				
OG0000501				AF303741.1_00127 hypothetical protein																																																																				
OG0000502				AF303741.1_00128 hypothetical protein																																																																				
OG0000503				AF303741.1_00133 hypothetical protein																																																																				
OG0000504				AF303741.1_00134 hypothetical protein																																																																				
OG0000505				AF303741.1_00138 hypothetical protein																																																																				
OG0000506				AF303741.1_00144 hypothetical protein																																																																				
OG0000507				AF303741.1_00153 hypothetical protein																																																																				
OG0000508				AF303741.1_00164 hypothetical protein																																																																				
OG0000509				AF303741.1_00171 hypothetical protein																																																																				
