Orthogroup	MCV_MP1_GSPI_KT804738.1	Rana_SGIV_AY521625.1
OG0000000	MCV_MP1_GSPI_KT804738.1_00029	Rana_SGIV_AY521625.1_00091
OG0000001	MCV_MP1_GSPI_KT804738.1_00007	Rana_SGIV_AY521625.1_00064
OG0000002	MCV_MP1_GSPI_KT804738.1_00008	Rana_SGIV_AY521625.1_00077
OG0000003	MCV_MP1_GSPI_KT804738.1_00015	Rana_SGIV_AY521625.1_00130
OG0000004	MCV_MP1_GSPI_KT804738.1_00109	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	MCV_MP1_GSPI_KT804738.1_00086	Rana_SGIV_AY521625.1_00016
OG0000006	MCV_MP1_GSPI_KT804738.1_00028	Rana_SGIV_AY521625.1_00085
OG0000007	MCV_MP1_GSPI_KT804738.1_00072	Rana_SGIV_AY521625.1_00051
OG0000008	MCV_MP1_GSPI_KT804738.1_00111	Rana_SGIV_AY521625.1_00142
OG0000009	MCV_MP1_GSPI_KT804738.1_00092	Rana_SGIV_AY521625.1_00100
OG0000011	MCV_MP1_GSPI_KT804738.1_00082	Rana_SGIV_AY521625.1_00086
OG0000012	MCV_MP1_GSPI_KT804738.1_00034	Rana_SGIV_AY521625.1_00065
OG0000013	MCV_MP1_GSPI_KT804738.1_00104	Rana_SGIV_AY521625.1_00047
OG0000014	MCV_MP1_GSPI_KT804738.1_00083	Rana_SGIV_AY521625.1_00073
OG0000015	MCV_MP1_GSPI_KT804738.1_00030	Rana_SGIV_AY521625.1_00074
OG0000016	MCV_MP1_GSPI_KT804738.1_00021	Rana_SGIV_AY521625.1_00110
OG0000017	MCV_MP1_GSPI_KT804738.1_00055	Rana_SGIV_AY521625.1_00048
OG0000018	MCV_MP1_GSPI_KT804738.1_00119	Rana_SGIV_AY521625.1_00115
OG0000019	MCV_MP1_GSPI_KT804738.1_00060	Rana_SGIV_AY521625.1_00053
OG0000020	MCV_MP1_GSPI_KT804738.1_00120	Rana_SGIV_AY521625.1_00035
OG0000021	MCV_MP1_GSPI_KT804738.1_00032	Rana_SGIV_AY521625.1_00059
OG0000022	MCV_MP1_GSPI_KT804738.1_00005	Rana_SGIV_AY521625.1_00054
OG0000023	MCV_MP1_GSPI_KT804738.1_00043	Rana_SGIV_AY521625.1_00062
OG0000024	MCV_MP1_GSPI_KT804738.1_00025	Rana_SGIV_AY521625.1_00042
OG0000026	MCV_MP1_GSPI_KT804738.1_00107	Rana_SGIV_AY521625.1_00060
OG0000027	MCV_MP1_GSPI_KT804738.1_00084	Rana_SGIV_AY521625.1_00022
OG0000032	MCV_MP1_GSPI_KT804738.1_00001	Rana_SGIV_AY521625.1_00004
