Orthogroup	MG570131.1	OK042109.1
OG0000000	MG570131.1_00031	OK042109.1_00047
OG0000001	MG570131.1_00009	OK042109.1_00068
OG0000002	MG570131.1_00008, MG570131.1_00007	OK042109.1_00069
OG0000003	MG570131.1_00016	OK042109.1_00061
OG0000004	MG570131.1_00108	OK042109.1_00088
OG0000005	MG570131.1_00092	OK042109.1_00105
OG0000006	MG570131.1_00073	OK042109.1_00001
OG0000007	MG570131.1_00087	OK042109.1_00110
OG0000008	MG570131.1_00030	OK042109.1_00048
OG0000009	MG570131.1_00110	OK042109.1_00086
OG0000010	MG570131.1_00074	OK042109.1_00123
OG0000011	MG570131.1_00063	OK042109.1_00013
OG0000012	MG570131.1_00023	OK042109.1_00054
OG0000013	MG570131.1_00057	OK042109.1_00020
OG0000014	MG570131.1_00118	OK042109.1_00078
OG0000015	MG570131.1_00119	OK042109.1_00077
OG0000016	MG570131.1_00084	OK042109.1_00113
OG0000017	MG570131.1_00034	OK042109.1_00044
OG0000018	MG570131.1_00103	OK042109.1_00093
OG0000019	MG570131.1_00083	OK042109.1_00114
OG0000020	MG570131.1_00032	OK042109.1_00046
OG0000021	MG570131.1_00005	OK042109.1_00071
OG0000022	MG570131.1_00036	OK042109.1_00042
OG0000023	MG570131.1_00045	OK042109.1_00033
OG0000024	MG570131.1_00027	OK042109.1_00051
OG0000026	MG570131.1_00106	OK042109.1_00090
OG0000027	MG570131.1_00085	OK042109.1_00112
OG0000028	MG570131.1_00048	OK042109.1_00030
OG0000029	MG570131.1_00061	OK042109.1_00015
OG0000030	MG570131.1_00001	OK042109.1_00075
OG0000031	MG570131.1_00006	OK042109.1_00070
OG0000033	MG570131.1_00086	OK042109.1_00111
OG0000034	MG570131.1_00120	OK042109.1_00076
OG0000035	MG570131.1_00014	OK042109.1_00063
OG0000036	MG570131.1_00015	OK042109.1_00062
OG0000037	MG570131.1_00020	OK042109.1_00057
OG0000038	MG570131.1_00021	OK042109.1_00056
OG0000039	MG570131.1_00024	OK042109.1_00053
OG0000040	MG570131.1_00025	OK042109.1_00052
OG0000041	MG570131.1_00033	OK042109.1_00045
OG0000042	MG570131.1_00037	OK042109.1_00041
OG0000043	MG570131.1_00049	OK042109.1_00028
OG0000044	MG570131.1_00050	OK042109.1_00027
OG0000045	MG570131.1_00055	OK042109.1_00022
OG0000046	MG570131.1_00056	OK042109.1_00021
OG0000047	MG570131.1_00058	OK042109.1_00019
OG0000048	MG570131.1_00059	OK042109.1_00017
OG0000049	MG570131.1_00060	OK042109.1_00016
OG0000050	MG570131.1_00075	OK042109.1_00122
OG0000051	MG570131.1_00079	OK042109.1_00118
OG0000052	MG570131.1_00080	OK042109.1_00117
OG0000053	MG570131.1_00091	OK042109.1_00106
OG0000054	MG570131.1_00093	OK042109.1_00104
OG0000055	MG570131.1_00096	OK042109.1_00101
OG0000056	MG570131.1_00107	OK042109.1_00089
OG0000057	MG570131.1_00112	OK042109.1_00084
OG0000058	MG570131.1_00114	OK042109.1_00082
OG0000059	MG570131.1_00002	OK042109.1_00074
OG0000060	MG570131.1_00011	OK042109.1_00066
OG0000061	MG570131.1_00019	OK042109.1_00058
OG0000062	MG570131.1_00088	OK042109.1_00109
OG0000063	MG570131.1_00070	OK042109.1_00005
OG0000064	MG570131.1_00018	OK042109.1_00059
OG0000065	MG570131.1_00039	OK042109.1_00039
OG0000066	MG570131.1_00043	OK042109.1_00035
OG0000067	MG570131.1_00047	OK042109.1_00031
OG0000068	MG570131.1_00066	OK042109.1_00010
OG0000069	MG570131.1_00095	OK042109.1_00102
OG0000070	MG570131.1_00097	OK042109.1_00100
OG0000071	MG570131.1_00111	OK042109.1_00085
OG0000072	MG570131.1_00010	OK042109.1_00067
OG0000073	MG570131.1_00013	OK042109.1_00064
OG0000074	MG570131.1_00017	OK042109.1_00060
OG0000075	MG570131.1_00035	OK042109.1_00043
OG0000076	MG570131.1_00038	OK042109.1_00040
OG0000077	MG570131.1_00041	OK042109.1_00037
OG0000078	MG570131.1_00042	OK042109.1_00036
OG0000079	MG570131.1_00046	OK042109.1_00032
OG0000080	MG570131.1_00051	OK042109.1_00026
OG0000081	MG570131.1_00052	OK042109.1_00025
OG0000082	MG570131.1_00053	OK042109.1_00024
OG0000083	MG570131.1_00062	OK042109.1_00014
OG0000084	MG570131.1_00065	OK042109.1_00012
OG0000085	MG570131.1_00067	OK042109.1_00009
OG0000086	MG570131.1_00068	OK042109.1_00008
OG0000087	MG570131.1_00071	OK042109.1_00004
OG0000088	MG570131.1_00072	OK042109.1_00003
OG0000089	MG570131.1_00081	OK042109.1_00116
OG0000090	MG570131.1_00082	OK042109.1_00115
OG0000091	MG570131.1_00094	OK042109.1_00103
OG0000092	MG570131.1_00098	OK042109.1_00099
OG0000093	MG570131.1_00101	OK042109.1_00095
OG0000094	MG570131.1_00104	OK042109.1_00092
OG0000095	MG570131.1_00105	OK042109.1_00091
OG0000096	MG570131.1_00116	OK042109.1_00080
OG0000097	MG570131.1_00003	OK042109.1_00073
OG0000098	MG570131.1_00004	OK042109.1_00072
OG0000099	MG570131.1_00040	OK042109.1_00038
OG0000100	MG570131.1_00044	OK042109.1_00034
OG0000101	MG570131.1_00069	OK042109.1_00007
OG0000102	MG570131.1_00076	OK042109.1_00121
OG0000103	MG570131.1_00099	OK042109.1_00098
OG0000104	MG570131.1_00102	OK042109.1_00094
OG0000105	MG570131.1_00113	OK042109.1_00083
OG0000106	MG570131.1_00029	OK042109.1_00049
OG0000107	MG570131.1_00100	OK042109.1_00097
OG0000108	MG570131.1_00117	OK042109.1_00079
OG0000110	MG570131.1_00115	OK042109.1_00081
OG0000111	MG570131.1_00090	OK042109.1_00107
OG0000112	MG570131.1_00077	OK042109.1_00120
OG0000115	MG570131.1_00012	OK042109.1_00065
OG0000116	MG570131.1_00054	OK042109.1_00023
OG0000118	MG570131.1_00089	OK042109.1_00108
OG0000121	MG570131.1_00109	OK042109.1_00087
