Orthogroup	KT804738.1	L63545.1
OG0000000	KT804738.1_00029	L63545.1_00007
OG0000001	KT804738.1_00007	L63545.1_00079
OG0000003	KT804738.1_00008	L63545.1_00035
OG0000004	KT804738.1_00015	L63545.1_00076
OG0000005	KT804738.1_00028	L63545.1_00108
OG0000006	KT804738.1_00072	L63545.1_00093
OG0000007	KT804738.1_00086	L63545.1_00090
OG0000008	KT804738.1_00109	L63545.1_00001
OG0000009	KT804738.1_00111	L63545.1_00024
OG0000010	KT804738.1_00005	L63545.1_00043
OG0000011	KT804738.1_00021	L63545.1_00071
OG0000012	KT804738.1_00030	L63545.1_00098
OG0000013	KT804738.1_00032	L63545.1_00072
OG0000014	KT804738.1_00034	L63545.1_00013
OG0000015	KT804738.1_00055	L63545.1_00004
OG0000016	KT804738.1_00060	L63545.1_00069
OG0000017	KT804738.1_00082	L63545.1_00009
OG0000018	KT804738.1_00083	L63545.1_00073
OG0000019	KT804738.1_00104	L63545.1_00068
OG0000020	KT804738.1_00119	L63545.1_00030
OG0000021	KT804738.1_00120	L63545.1_00110
OG0000022	KT804738.1_00043	L63545.1_00054
OG0000023	KT804738.1_00092	L63545.1_00056
OG0000024	KT804738.1_00107	L63545.1_00002
OG0000026	KT804738.1_00084	L63545.1_00058
OG0000027	KT804738.1_00046	L63545.1_00003
