Orthogroup	KT804738.1	MW139932.1
OG0000000	KT804738.1_00029	MW139932.1_00033
OG0000001	KT804738.1_00007	MW139932.1_00007
OG0000002	KT804738.1_00073	MW139932.1_00078
OG0000003	KT804738.1_00008	MW139932.1_00008
OG0000004	KT804738.1_00015	MW139932.1_00015
OG0000005	KT804738.1_00028	MW139932.1_00032
OG0000006	KT804738.1_00072	MW139932.1_00077
OG0000007	KT804738.1_00086	MW139932.1_00091
OG0000008	KT804738.1_00109	MW139932.1_00113
OG0000009	KT804738.1_00111	MW139932.1_00115
OG0000010	KT804738.1_00005	MW139932.1_00005
OG0000011	KT804738.1_00021	MW139932.1_00023
OG0000012	KT804738.1_00030	MW139932.1_00034
OG0000013	KT804738.1_00032	MW139932.1_00036
OG0000014	KT804738.1_00034	MW139932.1_00038
OG0000015	KT804738.1_00055	MW139932.1_00059
OG0000016	KT804738.1_00060	MW139932.1_00065
OG0000017	KT804738.1_00082	MW139932.1_00087
OG0000018	KT804738.1_00083	MW139932.1_00088
OG0000019	KT804738.1_00104	MW139932.1_00108
OG0000020	KT804738.1_00119	MW139932.1_00123
OG0000021	KT804738.1_00120	MW139932.1_00124
OG0000022	KT804738.1_00043	MW139932.1_00047
OG0000023	KT804738.1_00092	MW139932.1_00096
OG0000024	KT804738.1_00107	MW139932.1_00111
OG0000025	KT804738.1_00061	MW139932.1_00066
OG0000026	KT804738.1_00084	MW139932.1_00089
OG0000027	KT804738.1_00046	MW139932.1_00050
OG0000028	KT804738.1_00006	MW139932.1_00006
OG0000029	KT804738.1_00058	MW139932.1_00063
OG0000030	KT804738.1_00001	MW139932.1_00001
OG0000032	KT804738.1_00085	MW139932.1_00090
OG0000033	KT804738.1_00121	MW139932.1_00125
OG0000034	KT804738.1_00013	MW139932.1_00013
OG0000035	KT804738.1_00014	MW139932.1_00014
OG0000036	KT804738.1_00019	MW139932.1_00019
OG0000037	KT804738.1_00020	MW139932.1_00020
OG0000038	KT804738.1_00022	MW139932.1_00024
OG0000039	KT804738.1_00023	MW139932.1_00025
OG0000040	KT804738.1_00031	MW139932.1_00035
OG0000041	KT804738.1_00035	MW139932.1_00039
OG0000042	KT804738.1_00047	MW139932.1_00051
OG0000043	KT804738.1_00048	MW139932.1_00052
OG0000044	KT804738.1_00053	MW139932.1_00057
OG0000045	KT804738.1_00054	MW139932.1_00058
OG0000047	KT804738.1_00056	MW139932.1_00061
OG0000048	KT804738.1_00057	MW139932.1_00062
OG0000049	KT804738.1_00074	MW139932.1_00079
OG0000050	KT804738.1_00078	MW139932.1_00083
OG0000051	KT804738.1_00079	MW139932.1_00084
OG0000052	KT804738.1_00091	MW139932.1_00095
OG0000053	KT804738.1_00093	MW139932.1_00097
OG0000054	KT804738.1_00096	MW139932.1_00100
OG0000055	KT804738.1_00108	MW139932.1_00112
OG0000056	KT804738.1_00113	MW139932.1_00117
OG0000057	KT804738.1_00115	MW139932.1_00119
OG0000058	KT804738.1_00002	MW139932.1_00002
OG0000059	KT804738.1_00010	MW139932.1_00010
OG0000060	KT804738.1_00018	MW139932.1_00018
OG0000061	KT804738.1_00087	MW139932.1_00092
OG0000062	KT804738.1_00025	MW139932.1_00029
OG0000063	KT804738.1_00069	MW139932.1_00074
OG0000064	KT804738.1_00017	MW139932.1_00017
OG0000065	KT804738.1_00037	MW139932.1_00041
OG0000066	KT804738.1_00041	MW139932.1_00045
OG0000067	KT804738.1_00045	MW139932.1_00049
OG0000068	KT804738.1_00064	MW139932.1_00069
OG0000069	KT804738.1_00095	MW139932.1_00099
OG0000070	KT804738.1_00097	MW139932.1_00101
OG0000071	KT804738.1_00112	MW139932.1_00116
OG0000072	KT804738.1_00009	MW139932.1_00009
OG0000073	KT804738.1_00011	MW139932.1_00012
OG0000074	KT804738.1_00016	MW139932.1_00016
OG0000075	KT804738.1_00033	MW139932.1_00037
OG0000076	KT804738.1_00036	MW139932.1_00040
OG0000077	KT804738.1_00039	MW139932.1_00043
OG0000078	KT804738.1_00040	MW139932.1_00044
OG0000079	KT804738.1_00044	MW139932.1_00048
OG0000080	KT804738.1_00049	MW139932.1_00053
OG0000081	KT804738.1_00050	MW139932.1_00054
OG0000082	KT804738.1_00051	MW139932.1_00055
OG0000083	KT804738.1_00059	MW139932.1_00064
OG0000084	KT804738.1_00062	MW139932.1_00067
OG0000085	KT804738.1_00065	MW139932.1_00070
OG0000086	KT804738.1_00066	MW139932.1_00071
OG0000087	KT804738.1_00070	MW139932.1_00075
OG0000088	KT804738.1_00071	MW139932.1_00076
OG0000089	KT804738.1_00080	MW139932.1_00085
OG0000090	KT804738.1_00081	MW139932.1_00086
OG0000091	KT804738.1_00094	MW139932.1_00098
OG0000092	KT804738.1_00098	MW139932.1_00102
OG0000093	KT804738.1_00102	MW139932.1_00106
OG0000094	KT804738.1_00105	MW139932.1_00109
OG0000095	KT804738.1_00106	MW139932.1_00110
OG0000096	KT804738.1_00117	MW139932.1_00121
OG0000097	KT804738.1_00003	MW139932.1_00003
OG0000098	KT804738.1_00004	MW139932.1_00004
OG0000099	KT804738.1_00038	MW139932.1_00042
OG0000100	KT804738.1_00042	MW139932.1_00046
OG0000101	KT804738.1_00067	MW139932.1_00072
OG0000102	KT804738.1_00075	MW139932.1_00080
OG0000103	KT804738.1_00099	MW139932.1_00103
OG0000104	KT804738.1_00103	MW139932.1_00107
OG0000105	KT804738.1_00114	MW139932.1_00118
OG0000106	KT804738.1_00027	MW139932.1_00031
OG0000107	KT804738.1_00100	MW139932.1_00104
OG0000108	KT804738.1_00118	MW139932.1_00122
OG0000109	KT804738.1_00068	MW139932.1_00073
OG0000110	KT804738.1_00116	MW139932.1_00120
OG0000111	KT804738.1_00090	MW139932.1_00094
OG0000112	KT804738.1_00076	MW139932.1_00081
OG0000116	KT804738.1_00063	MW139932.1_00068
OG0000118	KT804738.1_00101	MW139932.1_00105
OG0000119	KT804738.1_00110	MW139932.1_00114
