0: 23043610003.faa
1: 23043610005.faa
2: AB104413.faa
3: AF371960.faa
4: AP017456.faa
5: AY894343.faa
6: BD143114.faa
7: GQ273492.faa
8: KC244182.faa
9: KT781098.faa
10: KT804738.faa
11: MG570131.faa
12: MG570132.faa
13: MK098185.faa
14: MK098186.faa
15: MK098187.faa
16: MK637631.faa
17: MK689685.faa
18: MK689686.faa
19: MN432490.faa
20: MN562489.faa
21: MT128666.faa
22: MT128667.faa
23: MT521409.faa
24: MT798582.faa
25: MT926123.faa
26: MT986830.faa
27: MW139932.faa
28: MW273353.faa
29: MW273354.faa
30: MW883593.faa
31: MW883594.faa
32: MW883595.faa
33: MW883596.faa
34: MW883597.faa
35: MW883598.faa
36: MW883599.faa
37: MW883600.faa
38: MW883601.faa
39: MW883602.faa
40: MW883603.faa
41: MW883606.faa
42: NC_003494.faa
43: OK042108.faa
44: OK042109.faa
45: OL774653.faa
46: OL774654.faa
47: OL774655.faa
48: OM037668.faa
49: ON075463.faa
50: ON212400.faa
51: ON740976.faa
52: ON743042.faa
53: OP009387.faa
54: OP896201.faa
55: OQ475017.faa
56: OQ513807.faa
57: OR356116.faa
58: OR536350.faa
59: OR670976.faa
60: PP151097.faa
61: PP974677.faa
62: PQ335173_PQ335174.faa
