Orthogroup	MT798582	OQ475017
OG0000000	MK689686.1_00029 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	MK689686.1_00008 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	MK689686.1_00014 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	MK689686.1_00028 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	MK689686.1_00112 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	MK689686.1_00005 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000006	MK689686.1_00007 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000007	MK689686.1_00021 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000008	MK689686.1_00030 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000009	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MK689686.1_00056 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000011	MK689686.1_00062 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000012	MK689686.1_00084 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000013	MK689686.1_00088 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000014	MK689686.1_00105 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000015	MK689686.1_00120 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000016	MK689686.1_00121 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000017	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	MK689686.1_00032 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000019	MK689686.1_00074 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000020	MK689686.1_00085 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000021	MK689686.1_00093 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000022	MK689686.1_00110 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000023	MK689686.1_00006 hypothetical protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000024	MK689686.1_00043 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000025	MK689686.1_00063 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000026	MK689686.1_00086 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000027	MK689686.1_00108 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000028	MK689686.1_00046 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000029	MK689686.1_00055 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000030	MK689686.1_00057 hypothetical protein	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000031	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000032	MK689686.1_00002 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000033	MK689686.1_00013 hypothetical protein	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000034	MK689686.1_00017 hypothetical protein	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000035	MK689686.1_00018 hypothetical protein	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000036	MK689686.1_00019 hypothetical protein	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000037	MK689686.1_00022 hypothetical protein	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000038	MK689686.1_00035 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
OG0000039	ORF045_refgen ORF045	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000040	MK689686.1_00049 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000041	MK689686.1_00059 hypothetical protein	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000042	MK689686.1_00076 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000043	MK689686.1_00079 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000044	MK689686.1_00080 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000045	MK689686.1_00081 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000046	MK689686.1_00087 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000047	MK689686.1_00092 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000048	MK689686.1_00094 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000049	MK689686.1_00097 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000050	MK689686.1_00109 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000051	MK689686.1_00114 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000052	MK689686.1_00118 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000053	MK689686.1_00012 hypothetical protein	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation
OG0000054	MK689686.1_00023 hypothetical protein	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000055	MK689686.1_00054 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000057	MK689686.1_00116 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation
OG0000058	MK689686.1_00122 hypothetical protein	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000059	MK689686.1_00031 hypothetical protein	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation
OG0000061	MK689686.1_00095 hypothetical protein	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation
OG0000062	MK689686.1_00010 hypothetical protein	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation
OG0000063	MK689686.1_00075 hypothetical protein	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation
OG0000064	MK689686.1_00096 hypothetical protein	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation
OG0000065	ORF066L_refgen ORF066L	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation
OG0000066	ORF018_refgen ORF018	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation
OG0000067	MK689686.1_00009 hypothetical protein	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation
OG0000068	MK689686.1_00011 hypothetical protein	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation
OG0000069	MK689686.1_00016 hypothetical protein	OQ475017.1_00017 OQ475017.1 - hypothetical protein translation
OG0000070	MK689686.1_00039 hypothetical protein	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation
OG0000071	MK689686.1_00040 hypothetical protein	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation
OG0000072	MK689686.1_00042 hypothetical protein	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation
OG0000073	MK689686.1_00044 hypothetical protein	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation
OG0000074	MK689686.1_00045 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation
OG0000075	MK689686.1_00050 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation
OG0000076	MK689686.1_00051 hypothetical protein	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation
OG0000077	MK689686.1_00061 hypothetical protein	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation
OG0000078	MK689686.1_00067 hypothetical protein	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation
OG0000079	MK689686.1_00082 hypothetical protein	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation
OG0000080	MK689686.1_00083 hypothetical protein	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation
OG0000081	MK689686.1_00098 hypothetical protein	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation
OG0000082	MK689686.1_00100 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation
OG0000083	MK689686.1_00117 hypothetical protein	OQ475017.1_00117 OQ475017.1 - hypothetical protein translation
OG0000084	MK689686.1_00091 hypothetical protein	OQ475017.1_00091 OQ475017.1 - hypothetical protein translation
OG0000085	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	OQ475017.1_00064 OQ475017.1 - hypothetical protein translation
OG0000086	MK689686.1_00003 hypothetical protein	OQ475017.1_00003 OQ475017.1 - hypothetical protein translation
OG0000087	MK689686.1_00036 hypothetical protein	OQ475017.1_00037 OQ475017.1 - hypothetical protein translation
OG0000088	ORF038_refgen ORF039	OQ475017.1_00042 OQ475017.1 - hypothetical protein translation
OG0000089	MK689686.1_00052 hypothetical protein	OQ475017.1_00052 OQ475017.1 - hypothetical protein translation
OG0000090	MK689686.1_00068 hypothetical protein	OQ475017.1_00067 OQ475017.1 - hypothetical protein translation
OG0000091	MK689686.1_00071 hypothetical protein	OQ475017.1_00070 OQ475017.1 - hypothetical protein translation
OG0000092	MK689686.1_00072 hypothetical protein	OQ475017.1_00071 OQ475017.1 - hypothetical protein translation
OG0000093	MK689686.1_00073 hypothetical protein	OQ475017.1_00072 OQ475017.1 - hypothetical protein translation
OG0000094	MK689686.1_00077 hypothetical protein	OQ475017.1_00076 OQ475017.1 - hypothetical protein translation
OG0000095	MK689686.1_00099 hypothetical protein	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation
OG0000096	MK689686.1_00101 hypothetical protein	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation
OG0000097	MK689686.1_00106 hypothetical protein	OQ475017.1_00106 OQ475017.1 - hypothetical protein translation
OG0000098	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	OQ475017.1_00107 OQ475017.1 - hypothetical protein translation
OG0000099	MK689686.1_00115 hypothetical protein	OQ475017.1_00115 OQ475017.1 - hypothetical protein translation
OG0000100	MK689686.1_00103 hypothetical protein	OQ475017.1_00103 OQ475017.1 - hypothetical protein translation
OG0000101	MK689686.1_00004 hypothetical protein	OQ475017.1_00004 OQ475017.1 - hypothetical protein translation
OG0000103	MK689686.1_00033 hypothetical protein	OQ475017.1_00034 OQ475017.1 - hypothetical protein translation
OG0000104	MK689686.1_00038 hypothetical protein	OQ475017.1_00039 OQ475017.1 - hypothetical protein translation
OG0000105	MK689686.1_00104 hypothetical protein	OQ475017.1_00104 OQ475017.1 - hypothetical protein translation
OG0000106	MK689686.1_00037 hypothetical protein	OQ475017.1_00038 OQ475017.1 - hypothetical protein translation
OG0000108	MK689686.1_00069 hypothetical protein	OQ475017.1_00068 OQ475017.1 - hypothetical protein translation
OG0000109	MK689686.1_00119 hypothetical protein	OQ475017.1_00119 OQ475017.1 - hypothetical protein translation
OG0000110	MK689686.1_00070 hypothetical protein	OQ475017.1_00069 OQ475017.1 - hypothetical protein translation
OG0000111	MK689686.1_00113 hypothetical protein	OQ475017.1_00113 OQ475017.1 - hypothetical protein translation
OG0000114	MK689686.1_00058 hypothetical protein	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000115	GQ273492.1_00016 hypothetical protein	OQ475017.1_00016 OQ475017.1 - hypothetical protein translation
