Orthogroup	OM037668.1	HF920637.1
OG0000000	OM037668.1_00035	HF920637.1_00129, HF920637.1_00164
OG0000001	OM037668.1_00056	HF920637.1_00059
OG0000002	OM037668.1_00057	HF920637.1_00143
OG0000003	OM037668.1_00050	HF920637.1_00159
OG0000004	OM037668.1_00076	HF920637.1_00025
OG0000005	OM037668.1_00080	HF920637.1_00221
OG0000006	OM037668.1_00021	HF920637.1_00121
OG0000007	OM037668.1_00084	HF920637.1_00172
OG0000008	OM037668.1_00038	HF920637.1_00176, HF920637.1_00175
OG0000009	OM037668.1_00077	HF920637.1_00153
OG0000011	OM037668.1_00009	HF920637.1_00217
OG0000012	OM037668.1_00041	HF920637.1_00001
OG0000013	OM037668.1_00098	HF920637.1_00017
OG0000014	OM037668.1_00078	HF920637.1_00108
OG0000015	OM037668.1_00004	HF920637.1_00152
OG0000016	OM037668.1_00089	HF920637.1_00079
OG0000017	OM037668.1_00124	HF920637.1_00073
OG0000018	OM037668.1_00073	HF920637.1_00111
OG0000019	OM037668.1_00090	HF920637.1_00197
OG0000020	OM037668.1_00123	HF920637.1_00031
OG0000021	OM037668.1_00013	HF920637.1_00041
OG0000022	OM037668.1_00127	HF920637.1_00213
OG0000023	OM037668.1_00113	HF920637.1_00033
OG0000024	OM037668.1_00064	HF920637.1_00061
OG0000025	OM037668.1_00024	HF920637.1_00156
OG0000031	OM037668.1_00011	HF920637.1_00127
OG0000139	OM037668.1_00068	HF920637.1_00123
OG0000164	OM037668.1_00022	HF920637.1_00013
