Orthogroup	OM037668.1	AY779031.1
OG0000000	OM037668.1_00035	AY779031.1_00034
OG0000001	OM037668.1_00056	AY779031.1_00008
OG0000002	OM037668.1_00057	AY779031.1_00007
OG0000003	OM037668.1_00050	AY779031.1_00015, AY779031.1_00016
OG0000004	OM037668.1_00076	AY779031.1_00121
OG0000005	OM037668.1_00080	AY779031.1_00103
OG0000006	OM037668.1_00021	AY779031.1_00083
OG0000007	OM037668.1_00084	AY779031.1_00098
OG0000008	OM037668.1_00038	AY779031.1_00033
OG0000009	OM037668.1_00077	AY779031.1_00122
OG0000010	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	AY779031.1_00085
OG0000011	OM037668.1_00009	AY779031.1_00068
OG0000012	OM037668.1_00041	AY779031.1_00023
OG0000013	OM037668.1_00098	AY779031.1_00061
OG0000014	OM037668.1_00078	AY779031.1_00129
OG0000015	OM037668.1_00004	AY779031.1_00130
OG0000016	OM037668.1_00089	AY779031.1_00095
OG0000017	OM037668.1_00124	AY779031.1_00037
OG0000018	OM037668.1_00073	AY779031.1_00116
OG0000019	OM037668.1_00090	AY779031.1_00094
OG0000020	OM037668.1_00123	AY779031.1_00035
OG0000021	OM037668.1_00013	AY779031.1_00005
OG0000022	OM037668.1_00127	AY779031.1_00039
OG0000023	OM037668.1_00113	AY779031.1_00049
OG0000025	OM037668.1_00024	AY779031.1_00069
OG0000026	OM037668.1_00074	AY779031.1_00119
OG0000027	OM037668.1_00087	AY779031.1_00096
OG0000028	OM037668.1_00110	AY779031.1_00052
OG0000029	OM037668.1_00095	AY779031.1_00066
OG0000030	OM037668.1_00030	AY779031.1_00001
OG0000031	OM037668.1_00011	AY779031.1_00006
OG0000032	OM037668.1_00019	AY779031.1_00089
OG0000033	OM037668.1_00086	AY779031.1_00097
OG0000034	OM037668.1_00028	AY779031.1_00131
OG0000035	OM037668.1_00051	AY779031.1_00013
OG0000036	OM037668.1_00005	AY779031.1_00014
OG0000037	OM037668.1_00046	AY779031.1_00019
OG0000038	OM037668.1_00045	AY779031.1_00020
OG0000039	OM037668.1_00040	AY779031.1_00024
OG0000040	OM037668.1_00048	AY779031.1_00025
OG0000041	OM037668.1_00003	AY779031.1_00036
OG0000042	OM037668.1_00122	AY779031.1_00040
OG0000043	OM037668.1_00106	AY779031.1_00053
OG0000044	OM037668.1_00105	AY779031.1_00054
OG0000045	OM037668.1_00100	AY779031.1_00059
OG0000046	OM037668.1_00099	AY779031.1_00060
OG0000047	OM037668.1_00097	AY779031.1_00062
OG0000048	OM037668.1_00085	AY779031.1_00063
OG0000049	OM037668.1_00096	AY779031.1_00065
OG0000050	OM037668.1_00020	AY779031.1_00086
OG0000051	OM037668.1_00018	AY779031.1_00090
OG0000052	OM037668.1_00130	AY779031.1_00091
OG0000053	OM037668.1_00081	AY779031.1_00102
OG0000054	OM037668.1_00032	AY779031.1_00104
OG0000055	OM037668.1_00033	AY779031.1_00107
OG0000056	OM037668.1_00075	AY779031.1_00120
OG0000057	OM037668.1_00079	AY779031.1_00125
OG0000058	OM037668.1_00134	AY779031.1_00127
OG0000059	OM037668.1_00031	AY779031.1_00002
OG0000060	OM037668.1_00054	AY779031.1_00010
OG0000062	OM037668.1_00083	AY779031.1_00099
OG0000114	OM037668.1_00042	AY779031.1_00022
OG0000115	OM037668.1_00053	AY779031.1_00011
OG0000118	OM037668.1_00082	AY779031.1_00100
