Orthogroup	OM037668.1	AF303741.1
OG0000000	OM037668.1_00035	AF303741.1_00079, AF303741.1_00152
OG0000001	OM037668.1_00056	AF303741.1_00200, AF303741.1_00047
OG0000002	OM037668.1_00057	AF303741.1_00125
OG0000003	OM037668.1_00050	AF303741.1_00035
OG0000004	OM037668.1_00076	AF303741.1_00080
OG0000005	OM037668.1_00080	AF303741.1_00129
OG0000006	OM037668.1_00021	AF303741.1_00132
OG0000007	OM037668.1_00084	AF303741.1_00149
OG0000008	OM037668.1_00038	AF303741.1_00165
OG0000009	OM037668.1_00077	AF303741.1_00176
OG0000011	OM037668.1_00009	AF303741.1_00006
OG0000012	OM037668.1_00041	AF303741.1_00011
OG0000013	OM037668.1_00098	AF303741.1_00023
OG0000014	OM037668.1_00078	AF303741.1_00026
OG0000015	OM037668.1_00004	AF303741.1_00046
OG0000016	OM037668.1_00089	AF303741.1_00062
OG0000017	OM037668.1_00124	AF303741.1_00063
OG0000018	OM037668.1_00073	AF303741.1_00081
OG0000019	OM037668.1_00090	AF303741.1_00137
OG0000020	OM037668.1_00123	AF303741.1_00156
OG0000021	OM037668.1_00013	AF303741.1_00158
OG0000022	OM037668.1_00127	AF303741.1_00189
OG0000023	OM037668.1_00113	AF303741.1_00154
OG0000024	OM037668.1_00064	AF303741.1_00168
OG0000025	OM037668.1_00024	AF303741.1_00051
OG0000139	OM037668.1_00068	AF303741.1_00101
OG0000164	OM037668.1_00022	AF303741.1_00009
OG0000173	OM037668.1_00023	AF303741.1_00117
