Orthogroup	OM037668.1	AY521625.1
OG0000000	OM037668.1_00035	AY521625.1_00091
OG0000001	OM037668.1_00056	AY521625.1_00077
OG0000002	OM037668.1_00057	AY521625.1_00064
OG0000003	OM037668.1_00050	AY521625.1_00130
OG0000004	OM037668.1_00076	AY521625.1_00069, AY521625.1_00070
OG0000005	OM037668.1_00080	AY521625.1_00100
OG0000006	OM037668.1_00021	AY521625.1_00051
OG0000007	OM037668.1_00084	AY521625.1_00016
OG0000008	OM037668.1_00038	AY521625.1_00085
OG0000009	OM037668.1_00077	AY521625.1_00142
OG0000011	OM037668.1_00009	AY521625.1_00053
OG0000012	OM037668.1_00041	AY521625.1_00110
OG0000013	OM037668.1_00098	AY521625.1_00048
OG0000014	OM037668.1_00078	AY521625.1_00115
OG0000015	OM037668.1_00004	AY521625.1_00035
OG0000016	OM037668.1_00089	AY521625.1_00073
OG0000017	OM037668.1_00124	AY521625.1_00059
OG0000018	OM037668.1_00073	AY521625.1_00047
OG0000019	OM037668.1_00090	AY521625.1_00086
OG0000020	OM037668.1_00123	AY521625.1_00074
OG0000021	OM037668.1_00013	AY521625.1_00054
OG0000022	OM037668.1_00127	AY521625.1_00065
OG0000023	OM037668.1_00113	AY521625.1_00062
OG0000024	OM037668.1_00064	AY521625.1_00042
OG0000026	OM037668.1_00074	AY521625.1_00060
OG0000027	OM037668.1_00087	AY521625.1_00022
OG0000030	OM037668.1_00030	AY521625.1_00004
OG0000141	OM037668.1_00126, OM037668.1_00067	AY521625.1_00046
OG0000151	OM037668.1_00001	AY521625.1_00002
