Orthogroup	OM037668.1	L63545.1
OG0000000	OM037668.1_00035	L63545.1_00007
OG0000001	OM037668.1_00056	L63545.1_00035
OG0000002	OM037668.1_00057	L63545.1_00079
OG0000003	OM037668.1_00050	L63545.1_00076
OG0000004	OM037668.1_00076	L63545.1_00001
OG0000005	OM037668.1_00080	L63545.1_00056
OG0000006	OM037668.1_00021	L63545.1_00093
OG0000007	OM037668.1_00084	L63545.1_00090
OG0000008	OM037668.1_00038	L63545.1_00108
OG0000009	OM037668.1_00077	L63545.1_00024
OG0000011	OM037668.1_00009	L63545.1_00069
OG0000012	OM037668.1_00041	L63545.1_00071
OG0000013	OM037668.1_00098	L63545.1_00004
OG0000014	OM037668.1_00078	L63545.1_00030
OG0000015	OM037668.1_00004	L63545.1_00110
OG0000016	OM037668.1_00089	L63545.1_00073
OG0000017	OM037668.1_00124	L63545.1_00072
OG0000018	OM037668.1_00073	L63545.1_00068
OG0000019	OM037668.1_00090	L63545.1_00009
OG0000020	OM037668.1_00123	L63545.1_00098
OG0000021	OM037668.1_00013	L63545.1_00043
OG0000022	OM037668.1_00127	L63545.1_00013
OG0000023	OM037668.1_00113	L63545.1_00054
OG0000024	OM037668.1_00064	L63545.1_00015
OG0000026	OM037668.1_00074	L63545.1_00002
OG0000027	OM037668.1_00087	L63545.1_00058
OG0000028	OM037668.1_00110	L63545.1_00003
OG0000151	OM037668.1_00001	L63545.1_00085
OG0000161	OM037668.1_00036	L63545.1_00087
