Orthogroup	MCV_MP1_ISKNV_AF371960.1	Decap_MF599468.1
OG0000000	MCV_MP1_ISKNV_AF371960.1_00031	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	MCV_MP1_ISKNV_AF371960.1_00007	Decap_MF599468.1_00152
OG0000002	MCV_MP1_ISKNV_AF371960.1_00008	Decap_MF599468.1_00163
OG0000003	MCV_MP1_ISKNV_AF371960.1_00015	Decap_MF599468.1_00011
OG0000004	MCV_MP1_ISKNV_AF371960.1_00112	Decap_MF599468.1_00092
OG0000005	MCV_MP1_ISKNV_AF371960.1_00092	Decap_MF599468.1_00174
OG0000006	MCV_MP1_ISKNV_AF371960.1_00030	Decap_MF599468.1_00030
OG0000007	MCV_MP1_ISKNV_AF371960.1_00078	Decap_MF599468.1_00010
OG0000008	MCV_MP1_ISKNV_AF371960.1_00113	Decap_MF599468.1_00075
OG0000009	MCV_MP1_ISKNV_AF371960.1_00096	Decap_MF599468.1_00154
OG0000011	MCV_MP1_ISKNV_AF371960.1_00088	Decap_MF599468.1_00106
OG0000012	MCV_MP1_ISKNV_AF371960.1_00036	Decap_MF599468.1_00071
OG0000013	MCV_MP1_ISKNV_AF371960.1_00107	Decap_MF599468.1_00117
OG0000014	MCV_MP1_ISKNV_AF371960.1_00089	Decap_MF599468.1_00046
OG0000015	MCV_MP1_ISKNV_AF371960.1_00032	Decap_MF599468.1_00090
OG0000016	MCV_MP1_ISKNV_AF371960.1_00021	Decap_MF599468.1_00112
OG0000017	MCV_MP1_ISKNV_AF371960.1_00057	Decap_MF599468.1_00033
OG0000018	MCV_MP1_ISKNV_AF371960.1_00121	Decap_MF599468.1_00122
OG0000019	MCV_MP1_ISKNV_AF371960.1_00064	Decap_MF599468.1_00149
OG0000020	MCV_MP1_ISKNV_AF371960.1_00122	Decap_MF599468.1_00009
OG0000021	MCV_MP1_ISKNV_AF371960.1_00034	Decap_MF599468.1_00035
OG0000022	MCV_MP1_ISKNV_AF371960.1_00005	Decap_MF599468.1_00116
OG0000023	MCV_MP1_ISKNV_AF371960.1_00045	Decap_MF599468.1_00171
OG0000026	MCV_MP1_ISKNV_AF371960.1_00110	Decap_MF599468.1_00039
OG0000035	MCV_MP1_ISKNV_AF371960.1_00058	Decap_MF599468.1_00013
OG0000065	MCV_MP1_ISKNV_AF371960.1_00099	Decap_MF599468.1_00131
