Orthogroup	MCV_MP1_ISKNV_AF371960.1	Lymph_LDV1_L63545.1
OG0000000	MCV_MP1_ISKNV_AF371960.1_00031	Lymph_LDV1_L63545.1_00007
OG0000001	MCV_MP1_ISKNV_AF371960.1_00007	Lymph_LDV1_L63545.1_00079
OG0000002	MCV_MP1_ISKNV_AF371960.1_00008	Lymph_LDV1_L63545.1_00035
OG0000003	MCV_MP1_ISKNV_AF371960.1_00015	Lymph_LDV1_L63545.1_00076
OG0000004	MCV_MP1_ISKNV_AF371960.1_00112	Lymph_LDV1_L63545.1_00001
OG0000005	MCV_MP1_ISKNV_AF371960.1_00092	Lymph_LDV1_L63545.1_00090
OG0000006	MCV_MP1_ISKNV_AF371960.1_00030	Lymph_LDV1_L63545.1_00108
OG0000007	MCV_MP1_ISKNV_AF371960.1_00078	Lymph_LDV1_L63545.1_00093
OG0000008	MCV_MP1_ISKNV_AF371960.1_00113	Lymph_LDV1_L63545.1_00024
OG0000009	MCV_MP1_ISKNV_AF371960.1_00096	Lymph_LDV1_L63545.1_00056
OG0000011	MCV_MP1_ISKNV_AF371960.1_00088	Lymph_LDV1_L63545.1_00009
OG0000012	MCV_MP1_ISKNV_AF371960.1_00036	Lymph_LDV1_L63545.1_00013
OG0000013	MCV_MP1_ISKNV_AF371960.1_00107	Lymph_LDV1_L63545.1_00068
OG0000014	MCV_MP1_ISKNV_AF371960.1_00089	Lymph_LDV1_L63545.1_00073
OG0000015	MCV_MP1_ISKNV_AF371960.1_00032	Lymph_LDV1_L63545.1_00098
OG0000016	MCV_MP1_ISKNV_AF371960.1_00021	Lymph_LDV1_L63545.1_00071
OG0000017	MCV_MP1_ISKNV_AF371960.1_00057	Lymph_LDV1_L63545.1_00004
OG0000018	MCV_MP1_ISKNV_AF371960.1_00121	Lymph_LDV1_L63545.1_00030
OG0000019	MCV_MP1_ISKNV_AF371960.1_00064	Lymph_LDV1_L63545.1_00069
OG0000020	MCV_MP1_ISKNV_AF371960.1_00122	Lymph_LDV1_L63545.1_00110
OG0000021	MCV_MP1_ISKNV_AF371960.1_00034	Lymph_LDV1_L63545.1_00072
OG0000022	MCV_MP1_ISKNV_AF371960.1_00005	Lymph_LDV1_L63545.1_00043
OG0000023	MCV_MP1_ISKNV_AF371960.1_00045	Lymph_LDV1_L63545.1_00054
OG0000024	MCV_MP1_ISKNV_AF371960.1_00027	Lymph_LDV1_L63545.1_00015
OG0000026	MCV_MP1_ISKNV_AF371960.1_00110	Lymph_LDV1_L63545.1_00002
OG0000027	MCV_MP1_ISKNV_AF371960.1_00090	Lymph_LDV1_L63545.1_00058
OG0000028	MCV_MP1_ISKNV_AF371960.1_00048	Lymph_LDV1_L63545.1_00003
