Orthogroup	MK098185.1	KF938901.1
OG0000000	MK098185.1_00033	KF938901.1_00126
OG0000001	MK098185.1_00007	KF938901.1_00044
OG0000003	MK098185.1_00008	KF938901.1_00080
OG0000004	MK098185.1_00015	KF938901.1_00005
OG0000005	MK098185.1_00032	KF938901.1_00067
OG0000006	MK098185.1_00076	KF938901.1_00072
OG0000007	MK098185.1_00090	KF938901.1_00053
OG0000008	MK098185.1_00112	KF938901.1_00043
OG0000009	MK098185.1_00114	KF938901.1_00114
OG0000010	MK098185.1_00005	KF938901.1_00124
OG0000011	MK098185.1_00022	KF938901.1_00054
OG0000012	MK098185.1_00034	KF938901.1_00047
OG0000013	MK098185.1_00036	KF938901.1_00123
OG0000014	MK098185.1_00038	KF938901.1_00023
OG0000015	MK098185.1_00058	KF938901.1_00060
OG0000016	MK098185.1_00064	KF938901.1_00092
OG0000017	MK098185.1_00086	KF938901.1_00012
OG0000018	MK098185.1_00087	KF938901.1_00046
OG0000019	MK098185.1_00107	KF938901.1_00025
OG0000020	MK098185.1_00122	KF938901.1_00074
OG0000021	MK098185.1_00123	KF938901.1_00095
OG0000022	MK098185.1_00047	KF938901.1_00031
OG0000025	MK098185.1_00065	KF938901.1_00093
