Orthogroup	MK098185.1	ON075463.1
OG0000000	MK098185.1_00033	ON075463.1_00029
OG0000001	MK098185.1_00007	ON075463.1_00007
OG0000002	MK098185.1_00077	ON075463.1_00074
OG0000003	MK098185.1_00008	ON075463.1_00008
OG0000004	MK098185.1_00015	ON075463.1_00014
OG0000005	MK098185.1_00032	ON075463.1_00028
OG0000006	MK098185.1_00076	ON075463.1_00073
OG0000007	MK098185.1_00090	ON075463.1_00087
OG0000008	MK098185.1_00112	ON075463.1_00109
OG0000009	MK098185.1_00114	ON075463.1_00111
OG0000010	MK098185.1_00005	ON075463.1_00005
OG0000011	MK098185.1_00022	ON075463.1_00021
OG0000012	MK098185.1_00034	ON075463.1_00030
OG0000013	MK098185.1_00036	ON075463.1_00032
OG0000014	MK098185.1_00038	ON075463.1_00034
OG0000015	MK098185.1_00058	ON075463.1_00055
OG0000016	MK098185.1_00064	ON075463.1_00061
OG0000017	MK098185.1_00086	ON075463.1_00083
OG0000018	MK098185.1_00087	ON075463.1_00084
OG0000019	MK098185.1_00107	ON075463.1_00104
OG0000020	MK098185.1_00122	ON075463.1_00118
OG0000021	MK098185.1_00123	ON075463.1_00119
OG0000022	MK098185.1_00047	ON075463.1_00043
OG0000023	MK098185.1_00095	ON075463.1_00092
OG0000024	MK098185.1_00110	ON075463.1_00107
OG0000025	MK098185.1_00065	ON075463.1_00062
OG0000026	MK098185.1_00088	ON075463.1_00085
OG0000027	MK098185.1_00050	ON075463.1_00046
OG0000028	MK098185.1_00006	ON075463.1_00006
OG0000029	MK098185.1_00062	ON075463.1_00059
OG0000030	MK098185.1_00001	ON075463.1_00001
OG0000031	MK098185.1_00081	ON075463.1_00078
OG0000032	MK098185.1_00089	ON075463.1_00086
OG0000033	MK098185.1_00124	ON075463.1_00120
OG0000034	MK098185.1_00013	ON075463.1_00012
OG0000035	MK098185.1_00014	ON075463.1_00013
OG0000036	MK098185.1_00019	ON075463.1_00018
OG0000037	MK098185.1_00020	ON075463.1_00019
OG0000038	MK098185.1_00023	ON075463.1_00022
OG0000039	MK098185.1_00024	ON075463.1_00023
OG0000040	MK098185.1_00035	ON075463.1_00031
OG0000041	MK098185.1_00039	ON075463.1_00035
OG0000042	MK098185.1_00051	ON075463.1_00047
OG0000043	MK098185.1_00052	ON075463.1_00048
OG0000044	MK098185.1_00056	ON075463.1_00053
OG0000045	MK098185.1_00057	ON075463.1_00054
OG0000046	MK098185.1_00059	ON075463.1_00056
OG0000047	MK098185.1_00060	ON075463.1_00057
