Orthogroup	MK098185.1	AF371960.1
OG0000000	MK098185.1_00033	AF371960.1_00031
OG0000001	MK098185.1_00007	AF371960.1_00007
OG0000002	MK098185.1_00077	AF371960.1_00079
OG0000003	MK098185.1_00008	AF371960.1_00008
OG0000004	MK098185.1_00015	AF371960.1_00015
OG0000005	MK098185.1_00032	AF371960.1_00030
OG0000006	MK098185.1_00076	AF371960.1_00078
OG0000007	MK098185.1_00090	AF371960.1_00092
OG0000008	MK098185.1_00112	AF371960.1_00112
OG0000009	MK098185.1_00114	AF371960.1_00113
OG0000010	MK098185.1_00005	AF371960.1_00005
OG0000011	MK098185.1_00022	AF371960.1_00021
OG0000012	MK098185.1_00034	AF371960.1_00032
OG0000013	MK098185.1_00036	AF371960.1_00034
OG0000014	MK098185.1_00038	AF371960.1_00036
OG0000015	MK098185.1_00058	AF371960.1_00057
OG0000016	MK098185.1_00064	AF371960.1_00064
OG0000017	MK098185.1_00086	AF371960.1_00088
OG0000018	MK098185.1_00087	AF371960.1_00089
OG0000019	MK098185.1_00107	AF371960.1_00107
OG0000020	MK098185.1_00122	AF371960.1_00121
OG0000021	MK098185.1_00123	AF371960.1_00122
OG0000022	MK098185.1_00047	AF371960.1_00045
OG0000023	MK098185.1_00095	AF371960.1_00096
OG0000024	MK098185.1_00110	AF371960.1_00110
OG0000025	MK098185.1_00065	AF371960.1_00065
OG0000026	MK098185.1_00088	AF371960.1_00090
OG0000027	MK098185.1_00050	AF371960.1_00048
OG0000028	MK098185.1_00006	AF371960.1_00006
OG0000029	MK098185.1_00062	AF371960.1_00062
OG0000030	MK098185.1_00001	AF371960.1_00001
OG0000031	MK098185.1_00081	AF371960.1_00082
OG0000032	MK098185.1_00089	AF371960.1_00091
OG0000033	MK098185.1_00124	AF371960.1_00123
OG0000034	MK098185.1_00013	AF371960.1_00013
OG0000035	MK098185.1_00014	AF371960.1_00014
OG0000036	MK098185.1_00019	AF371960.1_00019
OG0000037	MK098185.1_00020	AF371960.1_00020
OG0000038	MK098185.1_00023	AF371960.1_00022
OG0000039	MK098185.1_00024	AF371960.1_00023
OG0000040	MK098185.1_00035	AF371960.1_00033
OG0000041	MK098185.1_00039	AF371960.1_00037
OG0000042	MK098185.1_00051	AF371960.1_00049
OG0000043	MK098185.1_00052	AF371960.1_00050
OG0000044	MK098185.1_00056	AF371960.1_00055
OG0000045	MK098185.1_00057	AF371960.1_00056
OG0000046	MK098185.1_00059	AF371960.1_00058
OG0000047	MK098185.1_00060	AF371960.1_00060
OG0000048	MK098185.1_00061	AF371960.1_00061
OG0000049	MK098185.1_00078	AF371960.1_00080
OG0000050	MK098185.1_00082	AF371960.1_00083
OG0000051	MK098185.1_00083	AF371960.1_00084
OG0000052	MK098185.1_00094	AF371960.1_00095
OG0000053	MK098185.1_00096	AF371960.1_00097
OG0000054	MK098185.1_00099	AF371960.1_00100
OG0000055	MK098185.1_00111	AF371960.1_00111
OG0000056	MK098185.1_00116	AF371960.1_00115
OG0000057	MK098185.1_00118	AF371960.1_00117
OG0000058	MK098185.1_00002	AF371960.1_00002
OG0000059	MK098185.1_00010	AF371960.1_00010
OG0000060	MK098185.1_00018	AF371960.1_00018
OG0000061	MK098185.1_00091	AF371960.1_00093
OG0000062	MK098185.1_00029	AF371960.1_00027
OG0000063	MK098185.1_00073	AF371960.1_00073
OG0000064	MK098185.1_00017	AF371960.1_00017
OG0000065	MK098185.1_00041	AF371960.1_00039
OG0000066	MK098185.1_00045	AF371960.1_00043
OG0000067	MK098185.1_00049	AF371960.1_00047
OG0000068	MK098185.1_00068	AF371960.1_00068
OG0000069	MK098185.1_00098	AF371960.1_00099
OG0000070	MK098185.1_00100	AF371960.1_00101
OG0000071	MK098185.1_00115	AF371960.1_00114
OG0000072	MK098185.1_00009	AF371960.1_00009
OG0000073	MK098185.1_00012	AF371960.1_00012
OG0000074	MK098185.1_00016	AF371960.1_00016
OG0000075	MK098185.1_00037	AF371960.1_00035
OG0000076	MK098185.1_00040	AF371960.1_00038
OG0000077	MK098185.1_00043	AF371960.1_00041
OG0000078	MK098185.1_00044	AF371960.1_00042
OG0000079	MK098185.1_00048	AF371960.1_00046
OG0000080	MK098185.1_00053	AF371960.1_00051
OG0000081	MK098185.1_00054	AF371960.1_00052
OG0000082	MK098185.1_00055	AF371960.1_00053
OG0000083	MK098185.1_00063	AF371960.1_00063
OG0000084	MK098185.1_00066	AF371960.1_00066
OG0000085	MK098185.1_00069	AF371960.1_00069
OG0000086	MK098185.1_00070	AF371960.1_00070
OG0000087	MK098185.1_00074	AF371960.1_00075
OG0000088	MK098185.1_00075	AF371960.1_00076
OG0000089	MK098185.1_00084	AF371960.1_00086
OG0000090	MK098185.1_00085	AF371960.1_00087
OG0000091	MK098185.1_00097	AF371960.1_00098
OG0000092	MK098185.1_00101	AF371960.1_00102
OG0000093	MK098185.1_00105	AF371960.1_00105
OG0000094	MK098185.1_00108	AF371960.1_00108
OG0000095	MK098185.1_00109	AF371960.1_00109
OG0000096	MK098185.1_00120	AF371960.1_00119
OG0000097	MK098185.1_00003	AF371960.1_00003
OG0000098	MK098185.1_00004	AF371960.1_00004
OG0000099	MK098185.1_00042	AF371960.1_00040
OG0000100	MK098185.1_00046	AF371960.1_00044
OG0000101	MK098185.1_00071	AF371960.1_00071
OG0000102	MK098185.1_00079	AF371960.1_00081
OG0000103	MK098185.1_00102	AF371960.1_00103
OG0000104	MK098185.1_00106	AF371960.1_00106
OG0000105	MK098185.1_00117	AF371960.1_00116
OG0000106	MK098185.1_00031	AF371960.1_00029
OG0000107	MK098185.1_00103	AF371960.1_00104
OG0000108	MK098185.1_00121	AF371960.1_00120
OG0000109	MK098185.1_00072	AF371960.1_00072
OG0000110	MK098185.1_00119	AF371960.1_00118
OG0000114	MK098185.1_00011	AF371960.1_00011
OG0000116	MK098185.1_00067	AF371960.1_00067
OG0000117	MK098185.1_00092	AF371960.1_00094
OG0000123	MK098185.1_00028	AF371960.1_00026
OG0000145	MK098185.1_00027	AF371960.1_00025
