Orthogroup	MK098185.1	AY894343.1
OG0000000	MK098185.1_00033	AY894343.1_00029
OG0000001	MK098185.1_00007	AY894343.1_00007
OG0000002	MK098185.1_00077	AY894343.1_00077
OG0000003	MK098185.1_00008	AY894343.1_00008
OG0000004	MK098185.1_00015	AY894343.1_00015
OG0000005	MK098185.1_00032	AY894343.1_00028
OG0000006	MK098185.1_00076	AY894343.1_00076
OG0000007	MK098185.1_00090	AY894343.1_00090
OG0000008	MK098185.1_00112	AY894343.1_00113
OG0000009	MK098185.1_00114	AY894343.1_00115
OG0000010	MK098185.1_00005	AY894343.1_00005
OG0000011	MK098185.1_00022	AY894343.1_00021
OG0000012	MK098185.1_00034	AY894343.1_00030
OG0000013	MK098185.1_00036	AY894343.1_00032
OG0000014	MK098185.1_00038	AY894343.1_00034
OG0000015	MK098185.1_00058	AY894343.1_00056
OG0000016	MK098185.1_00064	AY894343.1_00063
OG0000017	MK098185.1_00086	AY894343.1_00086
OG0000018	MK098185.1_00087	AY894343.1_00087
OG0000019	MK098185.1_00107	AY894343.1_00108
OG0000020	MK098185.1_00122	AY894343.1_00123
OG0000021	MK098185.1_00123	AY894343.1_00124
OG0000022	MK098185.1_00047	AY894343.1_00043
OG0000023	MK098185.1_00095	AY894343.1_00096
OG0000024	MK098185.1_00110	AY894343.1_00111
OG0000025	MK098185.1_00065	AY894343.1_00064
OG0000026	MK098185.1_00088	AY894343.1_00088
OG0000027	MK098185.1_00050	AY894343.1_00046
OG0000028	MK098185.1_00006	AY894343.1_00006
OG0000029	MK098185.1_00062	AY894343.1_00061
OG0000030	MK098185.1_00001	AY894343.1_00001
OG0000031	MK098185.1_00081	AY894343.1_00081
OG0000032	MK098185.1_00089	AY894343.1_00089
OG0000033	MK098185.1_00124	AY894343.1_00125
OG0000034	MK098185.1_00013	AY894343.1_00013
OG0000035	MK098185.1_00014	AY894343.1_00014
OG0000036	MK098185.1_00019	AY894343.1_00019
OG0000037	MK098185.1_00020	AY894343.1_00020
OG0000038	MK098185.1_00023	AY894343.1_00022
OG0000039	MK098185.1_00024	AY894343.1_00023
OG0000040	MK098185.1_00035	AY894343.1_00031
OG0000041	MK098185.1_00039	AY894343.1_00035
OG0000042	MK098185.1_00051	AY894343.1_00048
OG0000043	MK098185.1_00052	AY894343.1_00049
OG0000044	MK098185.1_00056	AY894343.1_00054
OG0000045	MK098185.1_00057	AY894343.1_00055
OG0000046	MK098185.1_00059	AY894343.1_00057
OG0000047	MK098185.1_00060	AY894343.1_00058
OG0000048	MK098185.1_00061	AY894343.1_00059
OG0000049	MK098185.1_00078	AY894343.1_00078
OG0000050	MK098185.1_00082	AY894343.1_00082
OG0000051	MK098185.1_00083	AY894343.1_00083
OG0000052	MK098185.1_00094	AY894343.1_00095
OG0000053	MK098185.1_00096	AY894343.1_00097
