Orthogroup	MK098185.1	AF303741.1
OG0000000	MK098185.1_00033	AF303741.1_00079, AF303741.1_00152
OG0000001	MK098185.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	MK098185.1_00007	AF303741.1_00125
OG0000003	MK098185.1_00015	AF303741.1_00035
OG0000004	MK098185.1_00112	AF303741.1_00080
OG0000005	MK098185.1_00095	AF303741.1_00129
OG0000006	MK098185.1_00076	AF303741.1_00132
OG0000007	MK098185.1_00090	AF303741.1_00149
OG0000008	MK098185.1_00032	AF303741.1_00165
OG0000009	MK098185.1_00114	AF303741.1_00176
OG0000011	MK098185.1_00064	AF303741.1_00006
OG0000012	MK098185.1_00022	AF303741.1_00011
OG0000013	MK098185.1_00058	AF303741.1_00023
OG0000014	MK098185.1_00122	AF303741.1_00026
OG0000015	MK098185.1_00123	AF303741.1_00046
OG0000016	MK098185.1_00087	AF303741.1_00062
OG0000017	MK098185.1_00036	AF303741.1_00063
OG0000018	MK098185.1_00107	AF303741.1_00081
OG0000019	MK098185.1_00086	AF303741.1_00137
OG0000020	MK098185.1_00034	AF303741.1_00156
OG0000021	MK098185.1_00005	AF303741.1_00158
OG0000022	MK098185.1_00038	AF303741.1_00189
OG0000023	MK098185.1_00047	AF303741.1_00154
OG0000024	MK098185.1_00029	AF303741.1_00168
OG0000025	MK098185.1_00065	AF303741.1_00051
