HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N17.HOG0000000	OG0000000	n0	AF303741.1_00079, AF303741.1_00152	AF371960.1_00031	AY521625.1_00091		AY779031.1_00034			GQ273492.1_00030	HF920633.1_00044	HF920637.1_00129, HF920637.1_00164		KF938901.1_00126		L63545.1_00007	LS484712.1_00114	MF599468.1_00057, MF599468.1_00056	MG570131.1_00031	MG570132.1_00031				MK689685.1_00029		MN432490.1_00032	MN562489.1_00102	MN803438.1_00124	MT521409.1_00103		MT926123.1_00032	MT986830.1_00033		NC_005946.1_00010	NC_027778.1_00083							OM037668.1_00035				OP009387.1_00030	
N17.HOG0000001	OG0000001	n0	AF303741.1_00200, AF303741.1_00047	AF371960.1_00008	AY521625.1_00077		AY779031.1_00008			GQ273492.1_00008	HF920633.1_00069	HF920637.1_00059		KF938901.1_00080		L63545.1_00035	LS484712.1_00095	MF599468.1_00163	MG570131.1_00009	MG570132.1_00009				MK689685.1_00008		MN432490.1_00008	MN562489.1_00081	MN803438.1_00101, MN803438.1_00056	MT521409.1_00082		MT926123.1_00008	MT986830.1_00008		NC_005946.1_00053	NC_027778.1_00062							OM037668.1_00056				OP009387.1_00008	
N17.HOG0000002	OG0000002	n0	AF303741.1_00125	AF371960.1_00007	AY521625.1_00064		AY779031.1_00007			GQ273492.1_00007	HF920633.1_00073	HF920637.1_00143		KF938901.1_00044		L63545.1_00079	LS484712.1_00142	MF599468.1_00152	MG570131.1_00008, MG570131.1_00007	MG570132.1_00008, MG570132.1_00007				MK689685.1_00007		MN432490.1_00007	MN562489.1_00080	MN803438.1_00023	MT521409.1_00081		MT926123.1_00007	MT986830.1_00007		NC_005946.1_00091	NC_027778.1_00061							OM037668.1_00057				OP009387.1_00007	
N17.HOG0000003	OG0000003	n0	AF303741.1_00035	AF371960.1_00015	AY521625.1_00130		AY779031.1_00015, AY779031.1_00016			GQ273492.1_00015	HF920633.1_00127	HF920637.1_00159		KF938901.1_00005		L63545.1_00076	LS484712.1_00187	MF599468.1_00011	MG570131.1_00016	MG570132.1_00016				MK689685.1_00015		MN432490.1_00015	MN562489.1_00087	MN803438.1_00113	MT521409.1_00088		MT926123.1_00015	MT986830.1_00015		NC_005946.1_00057	NC_027778.1_00068							OM037668.1_00050				OP009387.1_00015	
N17.HOG0000004	OG0000004	n0	AF303741.1_00080	AF371960.1_00112	AY521625.1_00069, AY521625.1_00070		AY779031.1_00121			GQ273492.1_00108	HF920633.1_00079	HF920637.1_00025		KF938901.1_00043		L63545.1_00001		MF599468.1_00092	MG570131.1_00108	MG570132.1_00108				MK689685.1_00110		MN432490.1_00113	MN562489.1_00060	MN803438.1_00104	MT521409.1_00061		MT926123.1_00112	MT986830.1_00116		NC_005946.1_00028	NC_027778.1_00040							OM037668.1_00076				OP009387.1_00112	
N17.HOG0000005	OG0000005	n0	AF303741.1_00129	AF371960.1_00096	AY521625.1_00100		AY779031.1_00103			GQ273492.1_00092	HF920633.1_00085	HF920637.1_00221		KF938901.1_00125		L63545.1_00056	LS484712.1_00256	MF599468.1_00154	MG570131.1_00092	MG570132.1_00092				MK689685.1_00094		MN432490.1_00097	MN562489.1_00056	MN803438.1_00071	MT521409.1_00057		MT926123.1_00096	MT986830.1_00100		NC_005946.1_00014	NC_027778.1_00036							OM037668.1_00080				OP009387.1_00095	
N17.HOG0000006	OG0000006	n0	AF303741.1_00132	AF371960.1_00078	AY521625.1_00051		AY779031.1_00083, AY779031.1_00084			GQ273492.1_00073	HF920633.1_00025	HF920637.1_00121		KF938901.1_00072		L63545.1_00093	LS484712.1_00040	MF599468.1_00010	MG570131.1_00073	MG570132.1_00073				MK689685.1_00075		MN432490.1_00078	MN562489.1_00116	MN803438.1_00142	MT521409.1_00117		MT926123.1_00079	MT986830.1_00080		NC_005946.1_00042	NC_027778.1_00098							OM037668.1_00021				OP009387.1_00077	
N17.HOG0000007	OG0000007	n0	AF303741.1_00149	AF371960.1_00092	AY521625.1_00016		AY779031.1_00098			GQ273492.1_00087	HF920633.1_00091	HF920637.1_00172		KF938901.1_00053		L63545.1_00090	LS484712.1_00234, LS484712.1_00050	MF599468.1_00174	MG570131.1_00087	MG570132.1_00087				MK689685.1_00089		MN432490.1_00092	MN562489.1_00052	MN803438.1_00027	MT521409.1_00053		MT926123.1_00093	MT986830.1_00094		NC_005946.1_00002	NC_027778.1_00032							OM037668.1_00084				OP009387.1_00091	
N17.HOG0000008	OG0000008	n0	AF303741.1_00165	AF371960.1_00030	AY521625.1_00085		AY779031.1_00033			GQ273492.1_00029	HF920633.1_00043	HF920637.1_00176, HF920637.1_00175		KF938901.1_00067		L63545.1_00108	LS484712.1_00248	MF599468.1_00030	MG570131.1_00030	MG570132.1_00030				MK689685.1_00028		MN432490.1_00031	MN562489.1_00099	MN803438.1_00106	MT521409.1_00100		MT926123.1_00031	MT986830.1_00032		NC_005946.1_00095	NC_027778.1_00080							OM037668.1_00038				OP009387.1_00029	
N17.HOG0000009	OG0000009	n0	AF303741.1_00176	AF371960.1_00113	AY521625.1_00142		AY779031.1_00122			GQ273492.1_00110	HF920633.1_00122	HF920637.1_00153		KF938901.1_00114		L63545.1_00024	LS484712.1_00130	MF599468.1_00075	MG570131.1_00110	MG570132.1_00110				MK689685.1_00111		MN432490.1_00114	MN562489.1_00059	MN803438.1_00109	MT521409.1_00060		MT926123.1_00113	MT986830.1_00117		NC_005946.1_00092	NC_027778.1_00039							OM037668.1_00077				OP009387.1_00113	
N17.HOG0000010	OG0000010	n0		AF371960.1_00079			AY779031.1_00085			GQ273492.1_00074									MG570131.1_00074	MG570132.1_00074				MK689685.1_00076		MN432490.1_00079	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131		MT521409.1_00002, MT521409.1_00010, MT521409.1_00132		MT926123.1_00080	MT986830.1_00081			NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120							OM037668.1_00133, OM037668.1_00125, OM037668.1_00006				OP009387.1_00078	
N17.HOG0000011	OG0000011	n0	AF303741.1_00006	AF371960.1_00064	AY521625.1_00053		AY779031.1_00068			GQ273492.1_00063	HF920633.1_00118	HF920637.1_00217		KF938901.1_00092		L63545.1_00069	LS484712.1_00203	MF599468.1_00149	MG570131.1_00063	MG570132.1_00063				MK689685.1_00061		MN432490.1_00064	MN562489.1_00128	MN803438.1_00049	MT521409.1_00129		MT926123.1_00065	MT986830.1_00065		NC_005946.1_00011	NC_027778.1_00111							OM037668.1_00009				OP009387.1_00064	
N17.HOG0000012	OG0000012	n0	AF303741.1_00011	AF371960.1_00021	AY521625.1_00110		AY779031.1_00023			GQ273492.1_00022	HF920633.1_00001	HF920637.1_00001		KF938901.1_00054		L63545.1_00071	LS484712.1_00200	MF599468.1_00112	MG570131.1_00023	MG570132.1_00023				MK689685.1_00021		MN432490.1_00023	MN562489.1_00096	MN803438.1_00128	MT521409.1_00097		MT926123.1_00022	MT986830.1_00022		NC_005946.1_00060	NC_027778.1_00077							OM037668.1_00041				OP009387.1_00023	
N17.HOG0000013	OG0000013	n0	AF303741.1_00023	AF371960.1_00057	AY521625.1_00048		AY779031.1_00061			GQ273492.1_00056	HF920633.1_00067	HF920637.1_00017		KF938901.1_00060		L63545.1_00004	LS484712.1_00143	MF599468.1_00033	MG570131.1_00057	MG570132.1_00057				MK689685.1_00054		MN432490.1_00058	MN562489.1_00038	MN803438.1_00007	MT521409.1_00039		MT926123.1_00058	MT986830.1_00059		NC_005946.1_00022	NC_027778.1_00018							OM037668.1_00098				OP009387.1_00057	
N17.HOG0000014	OG0000014	n0	AF303741.1_00026	AF371960.1_00121	AY521625.1_00115		AY779031.1_00129			GQ273492.1_00118	HF920633.1_00138	HF920637.1_00108		KF938901.1_00074		L63545.1_00030	LS484712.1_00202	MF599468.1_00122	MG570131.1_00118	MG570132.1_00118				MK689685.1_00118		MN432490.1_00122	MN562489.1_00058	MN803438.1_00070	MT521409.1_00059		MT926123.1_00120	MT986830.1_00125		NC_005946.1_00016	NC_027778.1_00038							OM037668.1_00078				OP009387.1_00121	
N17.HOG0000015	OG0000015	n0	AF303741.1_00046	AF371960.1_00122	AY521625.1_00035		AY779031.1_00130			GQ273492.1_00119	HF920633.1_00058	HF920637.1_00152		KF938901.1_00095		L63545.1_00110	LS484712.1_00135	MF599468.1_00009	MG570131.1_00119	MG570132.1_00119				MK689685.1_00119		MN432490.1_00123	MN562489.1_00133	MN803438.1_00046	MT521409.1_00134		MT926123.1_00121	MT986830.1_00126		NC_005946.1_00021	NC_027778.1_00116							OM037668.1_00004				OP009387.1_00122	
N17.HOG0000016	OG0000016	n0	AF303741.1_00062	AF371960.1_00089	AY521625.1_00073		AY779031.1_00095			GQ273492.1_00084	HF920633.1_00094	HF920637.1_00079		KF938901.1_00046		L63545.1_00073	LS484712.1_00048	MF599468.1_00046	MG570131.1_00084	MG570132.1_00084				MK689685.1_00086		MN432490.1_00089	MN562489.1_00047	MN803438.1_00122	MT521409.1_00048		MT926123.1_00090	MT986830.1_00091		NC_005946.1_00082	NC_027778.1_00027							OM037668.1_00089				OP009387.1_00088	
N17.HOG0000017	OG0000017	n0	AF303741.1_00063	AF371960.1_00034	AY521625.1_00059		AY779031.1_00037			GQ273492.1_00033	HF920633.1_00158	HF920637.1_00073		KF938901.1_00123		L63545.1_00072	LS484712.1_00240	MF599468.1_00035	MG570131.1_00034	MG570132.1_00034				MK689685.1_00032		MN432490.1_00035	MN562489.1_00011	MN803438.1_00035	MT521409.1_00011		MT926123.1_00035	MT986830.1_00036		NC_005946.1_00087	NC_027778.1_00132							OM037668.1_00124				OP009387.1_00033	
