HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N35.HOG0000000	OG0000000	n0																								MN432490.1_00032																				OP009387.1_00030	
N35.HOG0000001	OG0000001	n0																								MN432490.1_00008																				OP009387.1_00008	
N35.HOG0000002	OG0000002	n0																								MN432490.1_00007																				OP009387.1_00007	
N35.HOG0000003	OG0000003	n0																								MN432490.1_00015																				OP009387.1_00015	
N35.HOG0000004	OG0000004	n0																								MN432490.1_00113																				OP009387.1_00112	
N35.HOG0000005	OG0000005	n0																								MN432490.1_00097																				OP009387.1_00095	
N35.HOG0000006	OG0000006	n0																								MN432490.1_00078																				OP009387.1_00077	
N35.HOG0000007	OG0000007	n0																								MN432490.1_00092																				OP009387.1_00091	
N35.HOG0000008	OG0000008	n0																								MN432490.1_00031																				OP009387.1_00029	
N35.HOG0000009	OG0000009	n0																								MN432490.1_00114																				OP009387.1_00113	
N35.HOG0000010	OG0000010	n0																								MN432490.1_00079																				OP009387.1_00078	
N35.HOG0000011	OG0000011	n0																								MN432490.1_00064																				OP009387.1_00064	
N35.HOG0000012	OG0000012	n0																								MN432490.1_00023																				OP009387.1_00023	
N35.HOG0000013	OG0000013	n0																								MN432490.1_00058																				OP009387.1_00057	
N35.HOG0000014	OG0000014	n0																								MN432490.1_00122																				OP009387.1_00121	
N35.HOG0000015	OG0000015	n0																								MN432490.1_00123																				OP009387.1_00122	
N35.HOG0000016	OG0000016	n0																								MN432490.1_00089																				OP009387.1_00088	
N35.HOG0000017	OG0000017	n0																								MN432490.1_00035																				OP009387.1_00033	
N35.HOG0000018	OG0000018	n0																								MN432490.1_00108																				OP009387.1_00107	
N35.HOG0000019	OG0000019	n0																								MN432490.1_00088																				OP009387.1_00087	
N35.HOG0000020	OG0000020	n0																								MN432490.1_00033																				OP009387.1_00031	
N35.HOG0000021	OG0000021	n0																								MN432490.1_00005																				OP009387.1_00005	
N35.HOG0000022	OG0000022	n0																								MN432490.1_00037																				OP009387.1_00035	
N35.HOG0000023	OG0000023	n0																								MN432490.1_00046																				OP009387.1_00044	
N35.HOG0000024	OG0000024	n0																								MN432490.1_00028																				OP009387.1_00026	
N35.HOG0000025	OG0000025	n0																								MN432490.1_00065																				OP009387.1_00065	
N35.HOG0000026	OG0000026	n0																								MN432490.1_00111																				OP009387.1_00110	
N35.HOG0000027	OG0000027	n0																								MN432490.1_00090																				OP009387.1_00089	
N35.HOG0000028	OG0000028	n0																								MN432490.1_00049																				OP009387.1_00047	
N35.HOG0000029	OG0000029	n0																								MN432490.1_00062																				OP009387.1_00062	
N35.HOG0000030	OG0000030	n0																								MN432490.1_00001																				OP009387.1_00001	
N35.HOG0000031	OG0000031	n0																								MN432490.1_00006																				OP009387.1_00006	
N35.HOG0000032	OG0000032	n30																								MN432490.1_00083																				OP009387.1_00082	
N35.HOG0000033	OG0000033	n0																								MN432490.1_00091																				OP009387.1_00090	
N35.HOG0000034	OG0000034	n0																								MN432490.1_00124																				OP009387.1_00123	
N35.HOG0000035	OG0000035	n0																								MN432490.1_00013																				OP009387.1_00013	
N35.HOG0000036	OG0000036	n0																								MN432490.1_00014																				OP009387.1_00014	
N35.HOG0000037	OG0000037	n0																								MN432490.1_00019																				OP009387.1_00019	
N35.HOG0000038	OG0000038	n0																								MN432490.1_00020																				OP009387.1_00020	
N35.HOG0000039	OG0000039	n0																								MN432490.1_00024																				OP009387.1_00024	
N35.HOG0000040	OG0000040	n0																								MN432490.1_00025																				OP009387.1_00025	
N35.HOG0000041	OG0000041	n0																								MN432490.1_00034																				OP009387.1_00032	
N35.HOG0000042	OG0000042	n0																								MN432490.1_00038																				OP009387.1_00036	
N35.HOG0000043	OG0000043	n0																								MN432490.1_00050																				OP009387.1_00049	
N35.HOG0000044	OG0000044	n0																								MN432490.1_00051																				OP009387.1_00050	
N35.HOG0000045	OG0000045	n0																								MN432490.1_00056																				OP009387.1_00055	
N35.HOG0000046	OG0000046	n0																								MN432490.1_00057																				OP009387.1_00056	
N35.HOG0000047	OG0000047	n0																								MN432490.1_00059																				OP009387.1_00058	
N35.HOG0000048	OG0000048	n0																								MN432490.1_00060																				OP009387.1_00060	
