HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N37.HOG0000000	OG0000000	n0			AY521625.1_00091																													NC_005946.1_00010													
N37.HOG0000001	OG0000001	n0			AY521625.1_00077																													NC_005946.1_00053													
N37.HOG0000002	OG0000002	n0			AY521625.1_00064																													NC_005946.1_00091													
N37.HOG0000003	OG0000003	n0			AY521625.1_00130																													NC_005946.1_00057													
N37.HOG0000004	OG0000004	n0			AY521625.1_00069, AY521625.1_00070																													NC_005946.1_00028													
N37.HOG0000005	OG0000005	n0			AY521625.1_00100																													NC_005946.1_00014													
N37.HOG0000006	OG0000006	n0			AY521625.1_00051																													NC_005946.1_00042													
N37.HOG0000007	OG0000007	n0			AY521625.1_00016																													NC_005946.1_00002													
N37.HOG0000008	OG0000008	n0			AY521625.1_00085																													NC_005946.1_00095													
N37.HOG0000009	OG0000009	n0			AY521625.1_00142																													NC_005946.1_00092													
N37.HOG0000010	OG0000011	n0			AY521625.1_00053																													NC_005946.1_00011													
N37.HOG0000011	OG0000012	n0			AY521625.1_00110																													NC_005946.1_00060													
N37.HOG0000012	OG0000013	n0			AY521625.1_00048																													NC_005946.1_00022													
N37.HOG0000013	OG0000014	n0			AY521625.1_00115																													NC_005946.1_00016													
N37.HOG0000014	OG0000015	n0			AY521625.1_00035																													NC_005946.1_00021													
